universe,strategy,ticker,weight,rc_pct_var,sigma_i
portfolio,Current,BAYRY,0.15141751405548576,-0.11882056353964549,2.200719885354304
portfolio,Current,CAG,0.13336335256015563,0.45855263656990636,4.486010364887251
portfolio,Current,HMC,0.1208038579261394,0.15649645111470437,1.7464137729593274
portfolio,Current,KHC,0.13393602607550747,0.18081632833165268,1.8786935067258994
portfolio,Current,MOS,0.1127252549456596,0.08599499656660842,1.0271177156247293
portfolio,Current,PFE,0.09811721776880475,0.1615136492225627,2.1483339015926144
portfolio,Current,SMCI,0.11285847172877204,-0.046952849113876906,1.7088649564805516
portfolio,Current,T,0.13677830493947524,0.12239935084808781,1.4078772968916557
portfolio,ERC_multiplicative,BAYRY,0.0837241649050805,-0.06877114342714556,2.200719885354304
portfolio,ERC_multiplicative,CAG,0.13059091771962428,0.3553573226878338,4.486010364887251
portfolio,ERC_multiplicative,HMC,0.2003903350005814,0.2082062528450569,1.7464137729593274
portfolio,ERC_multiplicative,KHC,0.22217407287048282,0.245912142018532,1.8786935067258994
portfolio,ERC_multiplicative,MOS,0.0623298294976579,0.03366535911827933,1.0271177156247293
portfolio,ERC_multiplicative,PFE,0.1627575681402257,0.21105119198137562,2.1483339015926144
portfolio,ERC_multiplicative,SMCI,0.06240348982676186,-0.029709972300471833,1.7088649564805516
portfolio,ERC_multiplicative,T,0.0756296220395855,0.044288847076539725,1.4078772968916557
portfolio,ERC_SLSQP_floor,BAYRY,0.2297277652006853,-0.009526592842768397,2.200719885354304
portfolio,ERC_SLSQP_floor,CAG,0.06744544520807297,0.2541287896596226,4.486010364887251
portfolio,ERC_SLSQP_floor,HMC,0.10333261051477852,0.14979842834196627,1.7464137729593274
portfolio,ERC_SLSQP_floor,KHC,0.11262417572505784,0.15913985146057438,1.8786935067258994
portfolio,ERC_SLSQP_floor,MOS,0.13104584215959378,0.1325663760626767,1.0271177156247293
portfolio,ERC_SLSQP_floor,PFE,0.08458520209692978,0.15206055535859034,2.1483339015926144
portfolio,ERC_SLSQP_floor,SMCI,0.17122672139971126,0.03449394038330033,1.7088649564805516
portfolio,ERC_SLSQP_floor,T,0.10001223769517051,0.1273386515760376,1.4078772968916557
portfolio,InvVol_RP,BAYRY,0.10362183623299166,-0.08811432219677347,2.200719885354304
portfolio,InvVol_RP,CAG,0.06868285167970457,0.26064164457154965,4.486010364887251
portfolio,InvVol_RP,HMC,0.13057766669375828,0.18404275423561153,1.7464137729593274
portfolio,InvVol_RP,KHC,0.12138362896260504,0.1773913780642535,1.8786935067258994
portfolio,InvVol_RP,MOS,0.17416235758989354,0.15268022523671004,1.0271177156247293
portfolio,InvVol_RP,PFE,0.1061485997990434,0.19486196422773033,2.1483339015926144
portfolio,InvVol_RP,SMCI,0.13344684416990513,-0.0506242287649169,1.7088649564805516
portfolio,InvVol_RP,T,0.1619762148720984,0.1691205846258354,1.4078772968916557
portfolio,GMV_unconstrained,BAYRY,0.1724076930930354,-0.14204424829693066,2.200719885354304
portfolio,GMV_unconstrained,CAG,0.07300238039141986,0.27226157833355336,4.486010364887251
portfolio,GMV_unconstrained,HMC,0.19838214216526542,0.2791719938563268,1.7464137729593274
portfolio,GMV_unconstrained,KHC,0.07331585878713542,0.10759585716177578,1.8786935067258994
portfolio,GMV_unconstrained,MOS,0.18511559097655955,0.15246017026918776,1.0271177156247293
portfolio,GMV_unconstrained,PFE,0.16112650852733718,0.2868528466960857,2.1483339015926144
portfolio,GMV_unconstrained,SMCI,0.06177811914125223,-0.028568691368647092,1.7088649564805516
portfolio,GMV_unconstrained,T,0.07487170691799487,0.07227049334864846,1.4078772968916557
portfolio,GMV_long_only,BAYRY,0.2252973294048311,-0.03095390039806554,2.200719885354304
portfolio,GMV_long_only,CAG,0.06614471991500213,0.26325222443190655,4.486010364887251
portfolio,GMV_long_only,HMC,0.05991554046732549,0.0919039813861542,1.7464137729593274
portfolio,GMV_long_only,KHC,0.19928625280989692,0.30507654889279273,1.8786935067258994
portfolio,GMV_long_only,MOS,0.1677262967507802,0.1730619742270975,1.0271177156247293
portfolio,GMV_long_only,PFE,0.04866356284219439,0.09203638636085743,2.1483339015926144
portfolio,GMV_long_only,SMCI,0.16512785121280954,0.021620279409783956,1.7088649564805516
portfolio,GMV_long_only,T,0.06783844659716001,0.08400250568947298,1.4078772968916557
portfolio,GMV_long_capped,BAYRY,0.1493776543544782,-0.09795860132423613,2.200719885354304
portfolio,GMV_long_capped,CAG,0.059764514346856035,0.24764749647923728,4.486010364887251
