date,window,avg_pairwise_corr,median_pairwise_corr,mkt_vol
1962-02-01,21,0.1976996292111502,0.21564955990963952,0.1053381589687401
1962-02-08,21,0.15739473706032628,0.15720483599262028,0.09504330166412711
1962-02-15,21,0.13914619391787794,0.12928826638112528,0.08800237670549955
1962-02-23,21,0.1108861379452731,0.11481358816997632,0.07348603367467418
1962-03-02,21,0.10501178914987039,0.09000802483651858,0.07517065681801662
1962-03-09,21,0.10173519506187424,0.09467653217736796,0.06349485058390127
1962-03-16,21,0.11835143352883994,0.10568546731674161,0.06801563394755396
1962-03-23,21,0.1210649728194108,0.1296096478942278,0.06474118462787791
1962-03-30,21,0.10814387144756485,0.1090180705128743,0.06162371306309298
1962-04-06,21,0.21511508006581115,0.214346628980616,0.08282677382642528
1962-04-13,21,0.1640703795953136,0.16853397590599595,0.07972273015790612
1962-04-23,21,0.19529183174129716,0.2186552939455632,0.09347795301623164
1962-04-30,21,0.22427831222216885,0.24511427454650087,0.1038390916375279
1962-05-07,21,0.2944570967353,0.3205930151936327,0.14311385607512342
1962-05-14,21,0.3179252538923956,0.32370285523655806,0.1517925373219315
1962-05-21,21,0.330875460708425,0.33173469146865087,0.1687323225320725
1962-05-28,21,0.3589461228600209,0.3750426951214752,0.18874599372366085
1962-06-05,21,0.5496978745176416,0.5857689397387946,0.36632122106920034
1962-06-12,21,0.5434062370166325,0.5722924961608649,0.37609416209202723
1962-06-19,21,0.5648133505864736,0.591210470101363,0.4183659731973692
1962-06-26,21,0.5510697519389535,0.5812619399254273,0.4253533593606891
1962-07-03,21,0.5527614575536188,0.5779636702198183,0.3389411404810901
1962-07-11,21,0.5483001194417108,0.5695437739991835,0.3192481475899695
1962-07-18,21,0.45250245034404846,0.46182026697190326,0.23672523146973676
1962-07-25,21,0.40515426792095716,0.4254129770006397,0.19973418340741772
1962-08-01,21,0.37944496129661215,0.39013147830119277,0.16512654257274473
1962-08-08,21,0.3665240494583369,0.3677007515357036,0.15300466892991912
1962-08-15,21,0.38005226054066676,0.3857258223611092,0.14936172227438665
1962-08-22,21,0.2970835345508876,0.2926459832340906,0.12655181184082884
1962-08-29,21,0.285560254451136,0.3030773109650045,0.13087312443830582
1962-09-06,21,0.26353651286354984,0.28901167559678037,0.12724171116118982
1962-09-13,21,0.26100913789100927,0.2782242315203445,0.12714548871289094
1962-09-20,21,0.20811145440335835,0.2334406881960323,0.11151553632724838
1962-09-27,21,0.3386332989894489,0.3653103908693437,0.1483611060359706
1962-10-04,21,0.3335791247076874,0.3682968432612238,0.1506526675373967
1962-10-11,21,0.37172646677753257,0.3740553306900104,0.15959224096959862
1962-10-18,21,0.3867384645413785,0.3799113889991992,0.15985203329156122
1962-10-25,21,0.4941585931775192,0.5025122664235437,0.2062557265396638
1962-11-01,21,0.4872419565787323,0.5381889608960413,0.21731865487792573
1962-11-09,21,0.5039003910638735,0.5447081995530461,0.23051756460606104
1962-11-16,21,0.49341972474904966,0.526285676424816,0.23435240526985407
1962-11-26,21,0.36379486451402615,0.3952211464479023,0.17415379770805328
1962-12-03,21,0.17151038324827067,0.19454880950508374,0.11594403811714868
1962-12-10,21,0.16806287548761564,0.16673863255970273,0.11327682192204763
1962-12-17,21,0.19080170344672942,0.17548386953589962,0.1168602677183853
1962-12-24,21,0.20402368079565197,0.2045674465575776,0.11593187948899526
1963-01-02,21,0.22186977374710068,0.23296394451946534,0.11043373880297262
1963-01-09,21,0.24343150774324349,0.2343223793108128,0.11233377887748922
1963-01-16,21,0.18272121162433103,0.1945036458028861,0.09551724834834249
1963-01-23,21,0.1953668553471043,0.22933743542547874,0.09497780139583664
1963-01-30,21,0.18630805852043497,0.1906662058610304,0.0940792963792761
1963-02-06,21,0.13036851605449362,0.13221875572998526,0.07612433826772991
1963-02-13,21,0.0831061189769716,0.07016007139214542,0.06057376245150765
1963-02-20,21,0.06838026478103826,0.06980837042959948,0.05375193980877735
1963-02-28,21,0.11168211554539861,0.0939788032995583,0.06721564482632023
1963-03-07,21,0.2012084148255581,0.21641979760416324,0.08974321189786184
1963-03-14,21,0.24305992904094828,0.26563650591837296,0.09839736359322976
1963-03-21,21,0.2641819028512548,0.2775864318057867,0.10128295793984592
1963-03-28,21,0.2615889164959053,0.28197095550678175,0.10305237978019126
1963-04-04,21,0.139491257199443,0.14426251724152755,0.06758723471331533
1963-04-11,21,0.11878190077267123,0.1250425517537796,0.06690647655724528
1963-04-19,21,0.091143178628535,0.10682919066430153,0.06002085133047078
1963-04-26,21,0.08216267744490267,0.09503279449360422,0.059366980767290835
1963-05-03,21,0.04254270711337438,0.03973737957105661,0.045660657179772114
1963-05-10,21,0.05990187989373181,0.060820916542873964,0.05627900879461623
1963-05-17,21,0.06588334491532005,0.05860445049488048,0.05512403442471245
1963-05-24,21,0.050184314676701404,0.03023986432533979,0.04662062206112691
1963-06-03,21,0.06390116498590104,0.05997907962420328,0.05225687045903599
1963-06-10,21,0.038262470588995776,0.039630455168021606,0.044402292121971665
1963-06-17,21,0.054939340582507205,0.03899415847396211,0.051642375074146256
1963-06-24,21,0.0476343414377989,0.044724039625664375,0.050887678080927375
1963-07-01,21,0.10150193992225492,0.08896021735842458,0.06877724700584294
1963-07-09,21,0.19375883158222815,0.22056978170819455,0.08903285033339133
1963-07-16,21,0.23411071960171057,0.2896076049379954,0.09356393484848007
1963-07-23,21,0.2297080328289232,0.26502277969682686,0.09548029105710006
1963-07-30,21,0.18606631747955468,0.21543459066693996,0.08733297573106596
1963-08-06,21,0.1841463128407798,0.180540015086647,0.08109852107079392
1963-08-13,21,0.18021382673015449,0.18983476742823502,0.08118376178088306
1963-08-20,21,0.13310477730477246,0.13795513655961675,0.07390198546671903
1963-08-27,21,0.11911015748915205,0.11952625095243838,0.06662117230150247
1963-09-04,21,0.07516345134799099,0.07332060190507532,0.056756159934507645
1963-09-11,21,0.08637992191705178,0.05606178127795035,0.0640375442980814
1963-09-18,21,0.08215242363094644,0.09135021149603512,0.062307618170577055
1963-09-25,21,0.14150871757084282,0.15667985799587597,0.08102223026365758
1963-10-02,21,0.16187630493595775,0.15554859519983225,0.08482149767866805
1963-10-09,21,0.1597836361184864,0.15481333699936906,0.08586437395346017
1963-10-16,21,0.16957638364933614,0.17232253670898606,0.09427618435999177
1963-10-23,21,0.16573897486440767,0.18078496312977377,0.0877942969424033
1963-10-30,21,0.09520532849274624,0.09212511871362193,0.07934717944504384
1963-11-07,21,0.08852159098887613,0.07747197257074856,0.08163142096098581
1963-11-14,21,0.09080330728488309,0.10939521466993499,0.0853086626001658
1963-11-21,21,0.09697815369698069,0.1159381411859142,0.08453226538523016
1963-12-02,21,0.3977569852598119,0.45352580328775116,0.21528714947763952
1963-12-09,21,0.41136463219664315,0.481588570655479,0.21480412914982197
1963-12-16,21,0.41499159559079907,0.5003872841684784,0.20812405311495896
1963-12-23,21,0.37998007007701184,0.4367214779924099,0.20632099008339413
1963-12-31,21,0.15978420149642508,0.1763209717252355,0.09650614381977646
1964-01-08,21,0.07569232143618432,0.06731812603280847,0.06870108358102912
1964-01-15,21,0.057115955429317286,0.06141861589459703,0.06716963738969467
1964-01-22,21,0.04433973609974129,0.056757011397461976,0.06065933844906679
1964-01-29,21,0.03777815103336223,0.04474690056780847,0.05759721864837966
1964-02-05,21,0.03535969007491733,0.036431994152937686,0.052123571831289794
1964-02-12,21,0.03447220911713532,0.02266053424039345,0.05125184872866311
1964-02-19,21,0.024889188969915294,0.02195832975988394,0.044971829249070755
1964-02-27,21,0.023093069760832856,0.033534854059616565,0.04599136453884603
1964-03-05,21,-0.005008592739576327,-0.0005572360969364125,0.04283784082517608
1964-03-12,21,0.009057922173152235,0.013533343704893064,0.044901520719583476
1964-03-19,21,0.01511857723372998,0.019191384709046827,0.0453854779423173
1964-03-26,21,0.053340681451241864,0.05957804820200356,0.05598702042449113
1964-04-03,21,0.07244761546535819,0.07485589875736778,0.060733432539731506
1964-04-10,21,0.08718337987381018,0.08821137032413567,0.06400477165918164
1964-04-17,21,0.09849064806123192,0.09286752434596376,0.06521234342417916
1964-04-24,21,0.0764051287640347,0.0875097473605137,0.06246400588181866
1964-05-01,21,0.1366751413235621,0.14702024163404995,0.08697709773147988
1964-05-08,21,0.10013430349556834,0.09307694728151623,0.07902565726820848
1964-05-15,21,0.07227657268615127,0.051142527401554984,0.07162522289377997
1964-05-22,21,0.08712507275792612,0.07580422744189882,0.07499599688890514
1964-06-01,21,0.010804257460447674,0.005822041543819182,0.04040072215409343
1964-06-08,21,0.07868869600126535,0.07447380625760895,0.053972222312682665
1964-06-15,21,0.13173732824084092,0.13534620352160331,0.06672910382643117
1964-06-22,21,0.1603608258579886,0.16968015608636206,0.07217248624996633
1964-06-29,21,0.14426118988513545,0.14631010752173546,0.06971877067526422
1964-07-07,21,0.09666373451101083,0.09361694885625954,0.061406861591371736
1964-07-14,21,0.061355573838614896,0.04610554067870404,0.05370117680576325
1964-07-21,21,0.06876502731044255,0.06353519312451153,0.05662017410408583
1964-07-28,21,0.09485799639721962,0.1032139662568195,0.0616283602894092
1964-08-04,21,0.08756874794365874,0.08303821259832826,0.05833377529774881
1964-08-11,21,0.19769805200428478,0.18793321913598054,0.09499468891360931
