date,mkt_ret,vol21,kf_level,kf_vol,gain_ret,gain_vol,cross_gain_vol_from_ret,innov_ret,innov_log_vol,innov_vol_z,regime
2025-08-26,-0.0020896528797198326,0.08023263263295499,-0.002048681302253633,0.08430111184459753,0.9803931179844124,0.9803931179844124,0.0,-0.0020896528797198326,-2.522824956182011,-2.4979077092459527,
2025-08-27,0.0032389430481742374,0.08074662004945413,0.0005723220878863407,0.08252005916977379,0.495686383229528,0.495686383229528,0.0,0.00528762435042787,-0.04307894980793314,-0.21632188408312206,low_vol
2025-08-28,0.0037334316202979724,0.08137648604537177,0.0016234741625366326,0.08213801862269729,0.33252630567608354,0.33252630567608354,0.0,0.0031611095324116318,-0.013955043182078963,-0.0806182309764062,low_vol
2025-08-29,0.0025197983332937222,0.07902105975765568,0.0018484076895691603,0.0813444448537387,0.2509510893168653,0.2509510893168653,0.0,0.0008963241707570897,-0.038686590131530973,-0.23675575410452576,low_vol
2025-09-01,-0.008309161098270148,0.07903676103516961,-0.00020547929176646142,0.08087245306743743,0.2022026160230926,0.2022026160230926,0.0,-0.010157568787839308,-0.028779470554090913,-0.18176660943657214,low_vol
2025-09-02,-0.004733271090779207,0.07251398670480357,-0.0009748399735963805,0.07938711560744759,0.16991962439564315,0.16991962439564315,0.0,-0.0045277917990127455,-0.109093796793998,-0.7028216516610325,low_vol
2025-09-03,0.008678514985386486,0.076781643995323,0.0004448120021572849,0.07899847257161875,0.14706306582382714,0.14706306582382714,0.0,0.009653354958982866,-0.03337048203056403,-0.21792444196441793,low_vol
2025-09-04,0.00033344133671762597,0.07525892232646109,0.0004303222028055129,0.07850161787181212,0.13010427202325234,0.13010427202325234,0.0,-0.00011137066543965895,-0.04849405202100643,-0.31982107240781993,low_vol
2025-09-05,-0.0005681618304741596,0.07028295995079378,0.0003134206056365649,0.07749174970750858,0.11707908516570559,0.11707908516570559,0.0,-0.0009984840332796724,-0.1105898554308058,-0.7347865444098061,low_vol
2025-09-08,0.005482053444271327,0.07045876609341327,0.0008654677049353979,0.07670826290381823,0.10680718026097018,0.10680718026097018,0.0,0.005168632838634762,-0.09514381470285027,-0.6358258401932142,low_vol
2025-09-09,0.005227946783767531,0.07160249681660191,0.001295330862354458,0.07618939602606804,0.09853643986623715,0.09853643986623715,0.0,0.0043624790788321325,-0.06887948763900953,-0.46243319121174975,low_vol
2025-09-10,-0.00011848369654984868,0.07030088111340453,0.0011655923864143704,0.07562908384237241,0.0917648464736661,0.0917648464736661,0.0,-0.0014138145589043067,-0.08043796088918054,-0.5420573137125516,low_vol
2025-09-11,-0.0051566312170411785,0.07270601629450921,0.000620967893292387,0.07537271799069697,0.08614445285109926,0.08614445285109926,0.0,-0.006322223603455549,-0.039416779916327194,-0.2664433717272875,low_vol
2025-09-12,0.012691329351548921,0.08402571173885266,0.0016038145742082303,0.07604266765897721,0.08142644976414877,0.08142644976414877,0.0,0.012070361458256535,0.10867746496047248,0.7365147852698863,low_vol
2025-09-15,0.005893763612878156,0.08563662930427425,0.001935977510690711,0.07674548056715653,0.07742817769822878,0.07742817769822878,0.0,0.004289949038669926,0.1188185047358914,0.8069919042494359,low_vol
2025-09-16,-0.008567344473983845,0.09186764999658956,0.0011586004560405353,0.07777390599086123,0.07401249393139145,0.07401249393139145,0.0,-0.010503321984674555,0.17985445468067818,1.223795254101161,low_vol
2025-09-17,0.0055876764234378245,0.08786935734016986,0.001473394431946545,0.07845147371841887,0.07107441331402492,0.07107441331402492,0.0,0.004429075967397289,0.12204515937336158,0.8317561557578129,low_vol
2025-09-18,0.0032676528147296685,0.08744904817333553,0.0015963589011159733,0.07903740487946748,0.06853219711795058,0.06853219711795058,0.0,0.0017942583827831235,0.10857605271589588,0.7409740094123847,low_vol
2025-09-19,0.004535765228075393,0.0875518179406202,0.001791304011251947,0.07957552104210353,0.06632125281489362,0.06632125281489362,0.0,0.00293940632695942,0.10230960321711668,0.6990369607985821,low_vol
2025-09-22,-0.0032548419089628296,0.08763838896924636,0.0014663833725564418,0.08007157760096668,0.0643898618535541,0.0643898618535541,0.0,-0.005046145920214776,0.09651261123179289,0.6601103280000392,low_vol
2025-09-23,0.010212211740312687,0.09132493814363737,0.002014712935176665,0.08073447468716397,0.06269612660611792,0.06269612660611792,0.0,0.008745828367756244,0.1315029406972692,0.9002449063112309,low_vol
2025-09-24,-0.0009363713782238418,0.0907857212993327,0.0018340896098414496,0.08131636909645473,0.06120574885476068,0.06120574885476068,0.0,-0.0029510843134005066,0.11733633914720443,0.8039013299665888,low_vol
2025-09-25,0.006737603834655099,0.09223654037897581,0.0021277629739725086,0.08193236319138215,0.059890386907610026,0.059890386907610026,0.0,0.00490351422481365,0.12600903033769217,0.863924755113283,low_vol
2025-09-26,0.000590017200296749,0.09216062683847961,0.002037456665700617,0.08250035376073866,0.05872642267520419,0.05872642267520419,0.0,-0.0015377457736757596,0.11763893078946408,0.8070380377424294,low_vol
2025-09-29,0.011765453909123256,0.09829244736890816,0.002598703971914087,0.08333822926865476,0.05769402397733454,0.05769402397733454,0.0,0.009727997243422638,0.17514461039817508,1.202202848029248,low_vol
2025-09-30,-0.0034355693462037908,0.09293693939753563,0.0022560995197271894,0.08385564369484007,0.05677642263207229,0.05677642263207229,0.0,-0.006034273318117877,0.10901381347269634,0.7486414317545362,low_vol
2025-10-01,0.006545854537712183,0.08991387385942003,0.002496151432524698,0.08418361141433253,0.055959352408489586,0.055959352408489586,0.0,0.004289755017984994,0.06975546199825278,0.47924607937021413,low_vol
2025-10-02,0.006267717658611774,0.08841115955134858,0.0027044573241407333,0.08441173644501596,0.05523060689620932,0.05523060689620932,0.0,0.003771566226087076,0.04899793742569569,0.33676403819798123,low_vol
