regime,avg_sector_corr,median_sector_corr,sector_a,sector_b,corr
normal,,,Consumer Staples,Financials,0.5357626092518395
normal,,,Consumer Staples,Health Care,0.3280579612161329
normal,,,Consumer Staples,Industrials,0.36955860695505416
normal,,,Consumer Staples,Information Technology,0.3439739503499316
normal,,,Consumer Staples,Materials,0.4446638260012593
normal,,,Consumer Staples,Utilities,0.35503168218338477
normal,,,Energy,Financials,0.5005229131825515
normal,,,Energy,Health Care,0.3168132147950004
normal,,,Energy,Industrials,0.3556101588643449
normal,,,Energy,Information Technology,0.44723759692244963
normal,,,Energy,Materials,0.5338279756834695
normal,,,Energy,Utilities,0.41036024801638776
normal,,,Financials,Health Care,0.5201838503927855
normal,,,Financials,Industrials,0.6314622145713917
normal,,,Financials,Information Technology,0.5913789212607027
normal,,,Financials,Materials,0.6182106089443211
normal,,,Financials,Utilities,0.3912002928766048
normal,,,Health Care,Industrials,0.46350918639498895
normal,,,Health Care,Information Technology,0.26998553061717717
normal,,,Health Care,Materials,0.47016902465610383
normal,,,Health Care,Utilities,0.2463194597346071
normal,,,Industrials,Information Technology,0.4794855551547732
normal,,,Industrials,Materials,0.5805092920084813
normal,,,Industrials,Utilities,0.31184025518817027
normal,,,Information Technology,Materials,0.4403030264852592
normal,,,Information Technology,Utilities,0.31452546514928303
normal,,,Materials,Utilities,0.4255566915339189
