date,regime,posterior_entropy,entropy_chg,entropy_ma5,max_posterior,vol21,avg_corr,mkt_ret,uncertain
2025-08-27,low_vol,5.2122318877694746e-11,,,0.9999999999979998,0.0807466200494541,0.1074476705070208,0.0032389430481742,False
2025-08-28,low_vol,2.4197218146425293e-05,2.4197166024106415e-05,,0.9999981262962176,0.0813764860453717,0.1037092888665612,0.0037334316202979,False
2025-08-29,low_vol,6.4117263232655845e-06,-1.778549182315971e-05,,0.9999995487901464,0.0790210597576556,0.1049985476891035,0.0025197983332937,False
2025-09-01,low_vol,3.268809298370818e-06,-3.1429170248947666e-06,,0.9999997800899968,0.0790367610351696,0.0947785203477192,-0.0083091610982701,False
2025-09-02,low_vol,2.1573811084141008e-08,-3.2472354872866767e-06,6.7798759402929434e-06,0.999999998904726,0.0725139867048035,0.1009123579362172,-0.0047332710907792,False
2025-09-03,low_vol,2.526578313568836e-06,2.505004502484695e-06,7.285181178542935e-06,0.9999998328310424,0.076781643995323,0.1001811273962684,0.0086785149853864,False
2025-09-04,low_vol,3.936654549295812e-07,-2.1329128586392547e-06,2.524470640243792e-06,0.999999976718121,0.075258922326461,0.1061953782843274,0.0003334413367176,False
2025-09-05,low_vol,4.4151318901819774e-09,-3.8925032303939924e-07,1.2430084019687116e-06,0.9999999997920388,0.0702829599507937,0.1064623868894595,-0.0005681618304741,False
2025-09-08,low_vol,1.6112596720062176e-08,1.1697464829880199e-08,5.924690616385605e-07,0.9999999991934736,0.0704587660934132,0.0986021894369229,0.0054820534442713,False
2025-09-09,low_vol,4.1181554485993096e-08,2.506895776593092e-08,5.963906103189309e-07,0.9999999978412496,0.0716024968166019,0.095770943945066,0.0052279467837675,False
2025-09-10,low_vol,6.065920989558433e-09,-3.511563349643466e-08,9.228813180307538e-08,0.9999999997100594,0.0703008811134045,0.0957981311677459,-0.0001184836965498,False
2025-09-11,low_vol,2.9897870325275626e-08,2.3831949335717192e-08,1.9534614882214264e-08,0.999999998457588,0.0727060162945092,0.0931638774140171,-0.0051566312170411,False
2025-09-12,low_vol,5.1103391149053775e-05,5.1073493278728496e-05,1.0239329818314932e-05,0.999995804440956,0.0840257117388526,0.0925699914727235,0.0126913293515489,False
2025-09-15,low_vol,0.0004678892738927,0.0004167858827436462,0.00010381396207751092,0.9999531346544328,0.0856366293042742,0.1145102456915474,0.0058937636128781,False
2025-09-16,low_vol,0.0038123505177399,0.0033444612438471998,0.0008662758293145938,0.9995147113810716,0.0918676499965895,0.1169109752452472,-0.0085673444739838,False
2025-09-17,low_vol,0.001402160494202,-0.0024101900235379,0.0011467067149707958,0.999842059116168,0.0878693573401698,0.1189271123045094,0.0055876764234378,False
2025-09-18,low_vol,0.0007745715931771,-0.0006275889010249,0.0013016150540321506,0.9999182724306503,0.0874490481733355,0.1159295600819922,0.0032676528147296,False
2025-09-19,low_vol,0.0011178202100527,0.00034324861687559985,0.00151495841781288,0.9998772610494452,0.0875518179406202,0.1206483227571196,0.0045357652280753,False
2025-09-22,low_vol,0.0016237107731142,0.0005058905630615001,0.0017461227176571801,0.999813982572468,0.0876383889692463,0.1195415212524051,-0.0032548419089628,False
2025-09-23,low_vol,0.0062702044536279,0.0046464936805137,0.0022376935048347797,0.999145874937318,0.0913249381436373,0.1183224972144254,0.0102122117403126,False
2025-09-24,low_vol,0.0167994142734128,0.0105292098197849,0.0053171442606769394,0.997335392902437,0.0907857212993327,0.1380785940616499,-0.0009363713782238,False
2025-09-25,low_vol,0.0089319706138504,-0.007867443659562401,0.006948624064811601,0.9987188518321598,0.0922365403789758,0.1151097425397683,0.006737603834655,False
2025-09-26,low_vol,0.0099703601274779,0.0010383895136275006,0.00871913204829664,0.9985458469073072,0.0921606268384796,0.1199784939523335,0.0005900172002967,False
2025-09-29,low_vol,0.0108757108879316,0.0009053507604536992,0.01056953207126012,0.9983923736110364,0.0982924473689081,0.1205786803937765,0.0117654539091232,False
2025-09-30,low_vol,0.0167926334542242,0.005916922566292601,0.012674017871379381,0.997336650028156,0.0929369393975356,0.1300771957393447,-0.0034355693462037,False
2025-10-01,low_vol,0.0041729785283809,-0.012619654925843302,0.010148730722373002,0.9994624312924112,0.08991387385942,0.1159889966814293,0.0065458545377121,False
2025-10-02,low_vol,0.0004106223006921,-0.0037623562276888,0.00844446105974134,0.9999594020999316,0.0884111595513485,0.1000969583902209,0.0062677176586117,False
2025-10-03,low_vol,0.0003648892296902,-4.57330710019e-05,0.006523366880183802,0.99996433988296,0.0902669311027474,0.0905603795136406,-0.0028197917471697,False
2025-10-06,low_vol,0.0001690606962669,-0.0001958285334233,0.004382036841850861,0.9999846286357884,0.089531434761231,0.0859660904462827,0.001648673361624,False
2025-10-07,low_vol,0.0001989702395185,2.990954325160001e-05,0.0010633041989097213,0.999981639144553,0.0899116159154825,0.0840190194066712,-0.0007290919185343,False
2025-10-08,low_vol,0.0002358148421404,3.684460262189999e-05,0.0002758714616616214,0.9999778945156056,0.0904545895087483,0.0845141023175911,-0.0013887993549304,False
2025-10-09,low_vol,0.000157925202124,-7.78896400164e-05,0.00022533204194800138,0.9999857288123006,0.0900110487545392,0.0856540078533159,0.0026831019370439,False
2025-10-10,low_vol,0.0001409720204624,-1.6953181661599986e-05,0.0001805486001024414,0.99998738911454,0.0875030534186716,0.0853408277578144,-0.0023546543230923,False
2025-10-13,low_vol,5.278095683668983e-06,-0.000135693924778731,0.0001477920799857952,0.9999996334456408,0.0795414839497574,0.0665904094734365,0.0010710093473029,False
2025-10-14,low_vol,1.3014393278705472e-05,7.736297595036489e-06,0.00011060091073783628,0.9999990374248402,0.0808013854038681,0.053717682030299,-0.0038745359560923,False
2025-10-15,low_vol,1.2718679293060384e-07,-1.2887206485774868e-05,6.34633796683424e-05,0.999999992931942,0.0731412095274028,0.0672571673463189,-0.0018500990448784,False
2025-10-16,low_vol,3.386619463582473e-05,3.373900784289412e-05,3.865157817070735e-05,0.9999973089125156,0.0821402844022529,0.0583667964697827,-0.0097245326507856,False
2025-10-17,low_vol,3.76838425726e-05,3.817647936775272e-06,1.7993942592747347e-05,0.999996980396928,0.0836491670072256,0.0804732422779442,-0.0039764479831063,False
