ticker,growth_sleeve,last_close,ret_1m,ret_3m,ret_1y,vol_21d,vol_63d,vol_window,sharpe_proxy
MU,starlink_supply,821.260009765625,-0.16602182303566893,0.2700617100415257,580.4230059493241,11.868952342361784,17.106597820092237,13.803726825809001,0.10616540222606348
TDG,aerospace_defense,1279.1500244140625,-0.049750372140705656,0.029928054018458328,52.076763658376926,11.480376571191213,16.0851060514861,14.81336159707052,-0.0006717305185549702
QQQ,thematic,698.469970703125,-0.03368755205218277,0.005079529526746951,12.678726476438188,9.471429878290754,13.440695881899495,11.888560430976174,0.022880335325853967
CAT,cyclical,824.2041015625,-0.15023495124870923,-0.07981098447460078,512.7894679895439,9.447017272877522,13.260197580835548,12.159508342550374,0.020822012856584086
CW,aerospace_defense,740.0,-0.06656409580479838,0.021492770152583995,280.9047619047619,9.12985113643296,12.612568581044366,11.787792027254717,0.02217964368110543
REGN,emerging_growth,762.0999755859375,0.17280432503228527,0.07474263407808679,35.075738489275146,7.766085117360771,11.157331886055598,10.75741573276759,-0.005625040977567402
AMAT,starlink_supply,513.0549926757812,-0.134507984795729,0.24940330794363663,5372.091256386396,7.543128222213081,10.28837081674251,8.412895683541917,0.11036600982583443
HEI,aerospace_defense,359.3450012207031,-0.016328587713874132,0.2408321603842012,2330.622508818794,7.160567209059626,9.817929921474262,8.851594198488021,0.021540166197086066
GD,aerospace_defense,382.4849853515625,0.014872055816526508,0.09985327412815703,511.11379609229743,7.015931487149892,9.691627705330687,9.291295275429807,0.012999462268552135
LRCX,starlink_supply,291.3999938964844,-0.16790410125909838,0.017031987539897653,1310.3012817082683,6.988986785459409,9.894838694274132,8.348560507312385,0.05563495569398022
NOC,aerospace_defense,545.7072143554688,-0.0037294124044385812,-0.011883326893883495,68.1924560498622,6.595361123488064,9.256509875521278,9.051162681020406,-0.05787721571098732
HII,aerospace_defense,326.55999755859375,0.11037059089231382,0.037620730465070196,7.710589035427027,5.460564968431205,7.601993193086914,7.494753064071432,-0.05263955407287979
MTSI,starlink_supply,252.91000366210938,-0.2280857271555018,-0.26579962619134123,11.30705659618727,5.380852856256378,8.468771131088644,7.647884246061739,0.018241103383900267
AMD,growth_ai,480.2627868652344,-0.13003750115950763,0.17578905379292942,151.66633178168613,4.462869422305122,6.107665263515838,4.444112894504952,0.37563500513574744
GOOGL,quality_growth,376.1600036621094,0.026469498535204528,-0.05485059199456255,148.80421067603575,4.317247850206891,6.397334726620022,5.556173986757927,0.055000382469271594
CRWD,growth_ai,198.57000732421875,-0.004062581697045431,0.5705924768244244,12.694483263739224,3.965356848113871,5.386145235323778,4.316557691923631,0.32307470135315347
XBI,emerging_growth,146.91000366210938,-0.08643737396625284,0.0991321235744973,7.9488320172435145,3.932076800436917,4.826118061022937,4.190341420200052,0.07514171750216664
BA,cyclical,227.72999572753906,-0.029035549388311432,-0.014283872523889407,275.6920295785089,3.9047191243669936,5.447210345879242,5.313453897244098,-0.024475300175533787
RKLB,launch_services,69.08999633789062,-0.25781502786708377,-0.1207687105119617,6.090516549096755,3.9031747463128945,6.643114506861421,5.314696554863958,-0.01719411894796388
TTMI,starlink_supply,119.19499969482422,-0.20212196143108419,-0.22484882367808356,4.1543783651815875,3.7485371758337167,6.654407964596198,5.066273899767536,0.0749633315481132
INTC,starlink_supply,90.45999908447266,-0.25973812321135337,-0.17478565208945673,276.89298149756763,3.616075065796729,5.0742206798594784,3.6982975281679042,0.31428181112122927
IRDM,starlink_supply,48.32500076293945,-0.08109905642277437,0.20241359577514917,4.322136692619632,3.1371160948359536,4.593739761171087,5.153520507412646,0.3423744083521664
HPQ,quality_growth,27.079999923706055,0.19823006489458228,0.29013817146237475,217.0758080382174,2.693527563032697,3.231891813399987,3.1839125948659084,0.20146163989666668
VUG,thematic,87.0999984741211,0.004845387257344402,0.012202154388440078,9.544793711938178,2.3991881871972005,3.148176083563229,2.5224952011958046,0.08649223600842638
SATS,starlink_supply,63.25281226549061,-0.021172983094332687,0.15854389779588196,0.24632588586944637,2.1409232572475183,1.2642903798772984,0.9384165852119105,1.254845606067231
BKSY,launch_services,23.77899932861328,-0.12448455588341911,-0.2624380244838711,-0.6966964430381533,1.898278069080654,2.3676916780947677,2.2019951647451563,0.03619597045682207
PLTR,growth_ai,125.11000061035156,-0.056058495941983866,-0.08712150438184985,12.16947374845806,1.8166528676142635,2.9782561312585054,3.11777830403088,-0.05306722478022325
TDW,maritime_launch,72.71499633789062,0.06635861173890656,-0.06608019820355493,-0.8975379611270147,1.642505481030885,2.5698015921020763,2.448365510751251,0.07482861695618882
ASTS,launch_services,63.400001525878906,-0.21378965766686986,-0.02983928070043329,5.489252666871523,1.461286096689367,2.89542082363173,2.666601044016093,-0.3550947315574488
SEDG,emerging_growth,43.709999084472656,-0.231945190622588,0.1320900904817328,1.111594080843199,1.4455597747943774,1.8383715633362077,1.8412102119103304,0.21321052229880358
STM,starlink_supply,51.939998626708984,-0.27244713446180124,-0.07084083704964905,13.006292965174726,1.331788735963719,1.8487751589989443,1.6330995564928181,0.6783472874930281
MSFT,quality_growth,488.0799865722656,0.2620365074645521,0.15996862731673267,5019.262746729307,1.2520502323157598,1.4086078388066685,1.208593611060832,0.3246232107501419
SPCX,launch_services,109.58000183105469,-0.31691807080279855,-0.008831151794219227,-0.05693649803942369,1.2025901991668233,1.6846018055060124,1.2267846134368992,0.0032407930648469534
SCHW,cyclical,105.41999816894531,0.04770418695428158,0.17787707451335555,290.1028834368248,1.200837559388435,1.46743441049434,1.7019746340562676,0.003796028155300358
VAL,maritime_launch,77.08999633789062,0.04841558027600712,-0.1600566859532354,2.252742356803593,1.1743198422743237,2.286860473268525,2.1916483854706996,0.19277545418896014
SMCI,growth_ai,28.440000534057617,0.04597278320882259,-0.1540749126233465,31.4657545114627,1.048871772860351,2.0577134108763127,1.7088649564805514,-0.22199344259459391
ARKK,thematic,73.3949966430664,-0.12217442761291475,-0.05819329711728716,2.6013248118458523,1.006175297387647,1.188504740634619,1.1231233058254737,0.07393741526629974
MCHP,starlink_supply,74.56999969482422,-0.1486470737233503,-0.2658988152131837,227.40952896583133,0.988200367700125,2.0105120036613524,1.7160227524562812,-0.02229185037545505
ENPH,emerging_growth,38.459999084472656,-0.13670034246648655,0.08429652553900469,4.23978178269011,0.7294736428707627,1.4823872230150508,1.278586239926061,-0.40419057281503357
NVDA,growth_ai,206.9949951171875,0.05852718939820445,-0.021300259493203355,5045.688823557247,0.6634263364855063,0.6557103559049838,0.7921535136074292,0.2780395568342693
TSLA,emerging_growth,320.010009765625,-0.2376539101388635,-0.2228805868884618,199.92713232580297,0.6396101097662896,0.8407538169550887,0.706380552556984,-0.7092735105160649
GSAT,starlink_supply,84.5199966430664,0.05386533490284506,0.037309685332433506,-0.678386603618679,0.5924372501425318,1.1400473519200367,1.103046081044209,0.6937115074739135
SPR,aerospace_defense,58.834614255089704,-0.07483561353985246,-0.041424336814491536,0.20192357551743179,0.23481740407088414,0.23060064638080258,0.2667113823341334,0.3668888991184741
