ticker,pct_days_absret_gt_25
SPCX,0.011406844106463879
ASTS,0.009400705052878966
GSAT,0.005831490046249749
ENPH,0.005813953488372093
NTR,0.005083179297597043
SMCI,0.004718916700861715
RKLB,0.0041841004184100415
ARKK,0.004052684903748734
VAL,0.003770739064856712
LXU,0.003745318352059925
SPLV,0.0033854166666666668
SYF,0.003304692663582287
BKSY,0.002997601918465228
FITB,0.0023939808481532147
TSLA,0.0022194821208384712
CTVA,0.002205071664829107
PYPL,0.0021482277121374865
NVDA,0.002019910546818641
IPI,0.0019539730785931393
REGN,0.0019090398652442447
SHEL,0.001777694610778443
SEDG,0.0017470300489168414
IVZ,0.001668591965087922
O,0.0014986886474334957
PLTR,0.0013577732518669382
BAYRY,0.0013370771493515176
AMD,0.0012824897400820793
USMV,0.0010744023636852001
KHC,0.0010741138560687433
HBAN,0.0010259917920656635
RF,0.0008549931600547196
MCHP,0.0008326394671107411
MOS,0.0008239777526006797
SBUX,0.0008148061925270633
TDW,0.0007694938440492476
TTMI,0.0007682851874615857
CF,0.0007571455612341472
BAC,0.0007417297136923305
C,0.0007197121151539384
VUG,0.0007055918151349444
SMG,0.0006902105142068331
MO,0.0006764651620441547
TGT,0.0006675567423230974
STM,0.0006272738677706687
BX,0.0006230529595015577
FANG,0.0005753739930955121
UNH,0.0005695301376364499
MTSI,0.0005520287054926856
DOW,0.0005376344086021505
ANDE,0.0005215803885773895
CL,0.0005211047420531526
UAN,0.0005184033177812338
D,0.0005129958960328317
SCHW,0.0005104124132298898
ORCL,0.0004910144358244132
VZ,0.00046451133407655144
INTC,0.0004274965800273598
WM,0.00041640641265875496
PLD,0.0004153398864737644
ASIX,0.00040160642570281126
MSFT,0.0003928501276762915
DVN,0.0003866976024748647
BEN,0.00037019898195279964
KO,0.00036898099747862984
GOOGL,0.0003616636528028933
T,0.0002787068004459309
MPC,0.00026281208935611036
HII,0.0002583311805734952
FMC,0.00025649794801641587
AFL,0.00025649794801641587
DG,0.00023752969121140142
NEE,0.00022251891410769915
PFE,0.00021958717610891525
IRDM,0.000216076058772688
LRCX,0.00018779342723004695
ICL,0.0001858045336306206
HON,0.00018449049873931492
VLO,0.0001779042874933286
CW,0.0001709986320109439
JPM,0.0001709986320109439
TRV,0.0001563843928375948
MKC,0.0001483459427384661
XLP,0.00014386419220256078
XLV,0.00014386419220256078
XLE,0.00014386419220256078
XLF,0.00014386419220256078
MCD,0.0001322226629644321
PG,0.00012299366582620996
MU,9.406452826639074e-05
NUE,8.549931600547196e-05
AMAT,8.549931600547196e-05
KMB,8.549931600547196e-05
HEI,8.549931600547196e-05
GIS,8.549931600547196e-05
LLY,7.319572536963841e-05
RTX,6.173601679219657e-05
LMT,6.150061500615006e-05
IBM,6.149683291310498e-05
MRK,6.149683291310498e-05
ABBV,0.0
AEP,0.0
ALL,0.0
BA,0.0
CSCO,0.0
CPB,0.0
COST,0.0
CFG,0.0
CRWD,0.0
DVY,0.0
GD,0.0
MMM,0.0
HMC,0.0
IYR,0.0
JNJ,0.0
HPQ,0.0
CAG,0.0
CAT,0.0
CB,0.0
BLK,0.0
BMY,0.0
CVX,0.0
DD,0.0
DUK,0.0
DE,0.0
NKE,0.0
PEP,0.0
SATS,0.0
SCHD,0.0
PM,0.0
PSX,0.0
QQQ,0.0
NOC,0.0
SPR,0.0
STLD,0.0
TDG,0.0
SO,0.0
VIG,0.0
VNQ,0.0
VYM,0.0
XBI,0.0
XLU,0.0
XOM,0.0
