date,close,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,sma20,sma50,sma_cross,above_sma20,above_sma50,ticker
2026-08-03,52.68,57.01,0.6705,0.405916,0.264584,54.1213,46.4407,0.812,50.281,50.631,0,True,True,ARE
2026-08-03,134.635,65.95,2.060036,1.023138,1.036898,131.6948,115.8387,1.185,123.7667,123.5917,1,True,True,ARES
2026-08-03,73.395,46.86,-1.546909,-1.119639,-0.42727,83.144,68.8405,0.318,75.9922,76.977,0,False,False,ARKK
2026-08-03,20.09,47.54,-0.862284,-0.825054,-0.037231,21.7285,19.6455,0.213,20.687,22.597,0,False,False,ASIX
2026-08-03,63.4,47.98,-5.12036,-5.890219,0.769859,77.0261,48.8399,0.517,62.933,79.3335,0,True,False,ASTS
2026-08-03,172.68,42.72,0.100753,0.779696,-0.678943,181.0589,172.6751,0.001,176.867,173.6806,0,False,False,ATO
2026-08-03,187.175,46.86,0.177141,1.039794,-0.862653,196.0029,185.4516,0.163,190.7272,186.9504,0,False,True,AVB
2026-08-03,388.595,51.19,-1.131733,-2.215948,1.084215,404.044,366.8855,0.584,385.4647,394.4626,0,True,False,AVGO
2026-08-03,169.77,58.66,2.425161,1.090556,1.334606,173.0171,151.0079,0.852,162.0125,160.5036,0,True,True,AVY
2026-08-03,132.445,48.89,1.476885,1.687802,-0.210918,138.4411,128.7474,0.381,133.5943,129.4055,0,False,True,AWK
2026-08-03,563.87,59.64,8.68185,9.936876,-1.255027,614.2126,467.9014,0.656,541.057,495.7492,0,True,True,AXON
2026-08-03,342.37,51.44,-0.292466,1.713436,-2.005903,364.947,325.678,0.425,345.3125,333.6996,0,False,True,AXP
2026-08-03,3000.0649,45.92,-20.024363,-25.662831,5.638468,3143.0097,2920.7817,0.357,3031.8957,3073.9131,0,False,False,AZO
2026-08-03,227.73,54.4,2.328674,1.016925,1.311749,230.8327,202.6323,0.89,216.7325,213.3455,0,True,True,BA
2026-08-03,61.84,52.88,0.824751,0.959528,-0.134777,63.2433,58.7047,0.691,60.974,58.5015,0,True,True,BAC
2026-08-03,64.93,61.71,1.475398,1.377735,0.097663,66.7914,59.1906,0.755,62.991,59.6496,0,True,True,BALL
2026-08-03,27.995,76.18,1.379035,0.912706,0.46633,26.8985,19.689,1.152,23.2937,21.4251,0,True,True,BAX
2026-08-03,13.58,52.89,0.354292,0.439826,-0.085535,14.6001,12.9329,0.388,13.7665,12.1526,0,False,True,BAYRY
2026-08-03,84.04,52.96,2.848362,3.324303,-0.475941,91.2748,78.2062,0.446,84.7405,77.8711,0,False,True,BBY
2026-08-03,168.785,67.02,4.206003,3.031295,1.174708,169.8568,145.2867,0.956,157.5717,151.839,0,True,True,BDX
2026-08-03,35.265,57.36,0.109019,-0.035829,0.144848,34.7191,31.6664,1.179,33.1928,33.0239,1,True,True,BEN
2026-07-31,28.73,62.25,0.617202,0.251052,0.36615,29.2789,23.8271,0.899,26.553,26.3739,0,True,True,BF.B
2026-08-03,105.37,33.69,-2.128893,-0.669062,-1.459831,126.8461,103.9419,0.062,115.394,117.526,0,False,False,BG
