ticker,ABBV,AEP,AFL,ALL,BAC,BAYRY,BEN,BMY,C,CAG,CAT,CB,CFG,CL,COST,CSCO,CVX,D,DD,DE,DG,DOW,DUK,DVN,FANG,FITB,GIS,HBAN,HMC,HON,HPQ,IBM,IVZ,JNJ,JPM,KHC,KMB,KO,LLY,LMT,MCD,MKC,MMM,MOS,PFE,RF,SMCI,T
ABBV,1.0,0.995664972393679,0.9929779445965777,0.9965239161055217,-0.865418829108338,0.9277680491434052,-0.9232648064236352,0.5200739053300164,0.9864099287534692,-0.940081654679311,0.9955318960988776,0.9954413756501551,0.7035094659984087,0.18710207550693098,0.9944776288623108,0.9510613708189843,0.9888278018951594,0.7769719906674183,0.9949220390872789,0.9970676680835091,0.9850715647831216,-0.794953351405331,0.9950729895723557,-0.8216131940843369,0.992593381909607,0.9774994601298433,-0.8188056363799341,0.8028893052545505,-0.9374256815032697,0.9943491300939388,-0.9820227294196904,0.9938971719529202,0.9751787937704912,0.9971534946299546,0.9955783056056322,-0.968043285375875,0.9945294831367373,0.7038007073382683,0.9946209194335234,0.9977799261067161,0.9957367263524315,-0.7659316737801305,0.9960535216618942,-0.5760904475824736,-0.9305814476969705,0.8551571562458199,0.6316184444192169,-0.31351710482888
AEP,0.995664972393679,1.0,0.9911219535504572,0.9990057509378315,-0.9010152669887289,0.9087196523340985,-0.94382237641762,0.4918051121547238,0.9925695435671346,-0.9623269257524226,0.9983917619630494,0.9990291863815024,0.6656239086248883,0.1158134664599556,0.9990996082379999,0.969826056563207,0.9965322612652351,0.7843243791457521,0.9970299277390495,0.9977145424008512,0.9730140249135443,-0.8011471229423416,0.9989973304230239,-0.8233885768654164,0.9959802407226999,0.9679755500994819,-0.8580044369796943,0.7818185393705934,-0.957481267336944,0.9982904957996039,-0.9743761260560384,0.989771955655401,0.9674034050028448,0.9973409968897782,0.998845414779074,-0.9753182887116477,0.9920740581484558,0.6581601673785649,0.9986521456300421,0.997355720622294,0.9993106549791583,-0.8089118581419263,0.9954230373438192,-0.6003390666947996,-0.9495897485909602,0.8199422485040174,0.6551693271374376,-0.35156570616905497
AFL,0.9929779445965777,0.9911219535504572,1.0,0.9926277589803103,-0.8623909039500037,0.8995543071886053,-0.9272363601044278,0.5596336490321664,0.9811492166365481,-0.9316895433610263,0.9902365931226073,0.9932969995059677,0.7144441280680428,0.21177707017282346,0.992396440977995,0.947315644491289,0.9891188506734322,0.8184156577964972,0.9916372491231208,0.9948923527340843,0.9846672737675034,-0.7484447771977156,0.9922192155749042,-0.7797351513791952,0.9912515817202361,0.9640088445735089,-0.8039603926677809,0.7712887169403669,-0.936870985231248,0.9925393300481302,-0.967025651596091,0.9889249617290646,0.9758778834015459,0.9895863252739545,0.9918367049505357,-0.9729053662605319,0.9910981244678259,0.7330773263315261,0.9883540773278751,0.9956113206241655,0.9925816361173454,-0.7455664735969311,0.9899823635687738,-0.5431350266565155,-0.9143564908226401,0.8530844673588511,0.6377085004881817,-0.24863828701285035
ALL,0.9965239161055217,0.9990057509378315,0.9926277589803103,1.0,-0.8950359860649703,0.9105377204812282,-0.9406761831220795,0.4918076246411025,0.9917936645578556,-0.9587723114352165,0.997890821284927,0.9990637328366385,0.6704195849336496,0.1294062546345405,0.9988175446552028,0.9669762108849259,0.9957785059281595,0.7799171578977083,0.9967661547240586,0.9978672136710922,0.9760652824213193,-0.8006182620996015,0.9983593194990527,-0.8229282217351055,0.9962380153193529,0.9699151055174824,-0.8513215209131183,0.7848521991634402,-0.9542917768471283,0.9976646654993854,-0.9749315603776046,0.9914690326752247,0.968420417352636,0.9975943004317985,0.9987286731452214,-0.9748253137356933,0.9927350138483907,0.6671496672796724,0.9983882278012925,0.9977639047734834,0.9991310043435051,-0.8011357042825971,0.9960847624319624,-0.6014057345071289,-0.9469537102739483,0.8268624410233483,0.6451576686686019,-0.3457931786788639
BAC,-0.865418829108338,-0.9010152669887289,-0.8623909039500037,-0.8950359860649703,1.0,-0.7080412428641093,0.9543188888749378,-0.32124424653896794,-0.8969925568874711,0.9556106769311521,-0.8921935632873028,-0.9003650016299124,-0.3447253606513727,0.26125389280883154,-0.9049821773763794,-0.9431335242363131,-0.9198240781468044,-0.6779141359207682,-0.8858879044742866,-0.8831377761571136,-0.8004491545016601,0.7250363549169561,-0.9016915800337026,0.721489063161496,-0.8997580448554588,-0.7886810002281275,0.9461617867162799,-0.5321677835140524,0.9468502188990137,-0.898063982608319,0.8228905190666862,-0.853823192210363,-0.7998111995369628,-0.8817897659180702,-0.8944964647218138,0.89181039909766,-0.8611539371752177,-0.36417799108602217,-0.9022665435054857,-0.8785167118086078,-0.9004551454348629,0.9343650958429013,-0.8724582278424298,0.6321533340990767,0.9222835275629893,-0.5089467377296967,-0.6528621429224678,0.4990348832344655
BAYRY,0.9277680491434052,0.9087196523340985,0.8995543071886053,0.9105377204812282,-0.7080412428641093,1.0,-0.7710462986641713,0.4397012440589769,0.8935168584707404,-0.8364804339776063,0.913351815804231,0.9054078061672153,0.7304844274671809,0.27110684537348073,0.9000089493289538,0.8396714285518527,0.8807966448830232,0.6342109916701073,0.9132775920852294,0.9087649107947662,0.9161886840465386,-0.8455590805659873,0.9020250146165241,-0.8674089127165158,0.8886006254987,0.9452695175218453,-0.7077235798095916,0.8714242231515453,-0.796391910714851,0.9030391472401713,-0.9388944304702048,0.9249195957151349,0.9048348678852569,0.9303144420181036,0.90620357636683,-0.8466026424323017,0.9271797489354986,0.6645824104436149,0.9110322496240627,0.9129452243504383,0.9051305090013968,-0.6335785690552611,0.9204501236053353,-0.5839697826285652,-0.8652571070776003,0.8757394164890709,0.5219037275098231,-0.3788470035013062
BEN,-0.9232648064236352,-0.94382237641762,-0.9272363601044278,-0.9406761831220795,0.9543188888749378,-0.7710462986641713,1.0,-0.46752964595839996,-0.9340839902677823,0.9389067000348614,-0.9343469670441891,-0.9463505262497687,-0.5060736511228651,0.05621919870469688,-0.9470175374819678,-0.9372251064259942,-0.9581655697961985,-0.7421136211742229,-0.9295859544939475,-0.9369604514590905,-0.8875806298156842,0.6820156018319452,-0.9488168405554077,0.6941911010409917,-0.9476243083951058,-0.8544969024819988,0.8710705264919687,-0.5973086767050803,0.9655229080298181,-0.9410650668574305,0.8879862668381768,-0.9135193593261675,-0.85925368669028,-0.9280249322256847,-0.9392915676916529,0.931876640017006,-0.920399457168034,-0.5558535576712984,-0.9395262321452066,-0.9337891644757613,-0.9448317131991177,0.8561142185636812,-0.9203636341699128,0.5410998506874334,0.9024298561864931,-0.63953263361675,-0.606656376869894,0.3296619415723801
BMY,0.5200739053300164,0.4918051121547238,0.5596336490321664,0.4918076246411025,-0.32124424653896794,0.4397012440589769,-0.46752964595839996,1.0,0.47907753959653254,-0.3244945421473501,0.4766910718756039,0.5078114809282119,0.6891714938650731,0.505263747819228,0.491141779575766,0.37405640929989586,0.49431952446749583,0.5558300681396827,0.49337785809387136,0.5149015910821669,0.5707363437553985,-0.07200943015137679,0.5143382057161469,-0.11544131307847809,0.49363128995875777,0.4887143519888336,-0.13751140209035512,0.3589646634632411,-0.44579855774955884,0.5001340110159267,-0.48095233450647934,0.5198507041336113,0.5414434832334644,0.4853108863315268,0.4908947595706474,-0.4549205943259518,0.5416894537241169,0.7764803097856688,0.46826315902452437,0.5181439111794158,0.5000071928306815,-0.13515381959555672,0.4786909308883235,0.1670269093651078,-0.24696559743769467,0.5570225231269532,0.20041812066564657,0.45220627564450444
C,0.9864099287534692,0.9925695435671346,0.9811492166365481,0.9917936645578556,-0.8969925568874711,0.8935168584707404,-0.9340839902677823,0.47907753959653254,1.0,-0.9638339964343003,0.9928247571019324,0.9921077267797526,0.6729512624759179,0.07653669632957479,0.9923653620836306,0.9729233111452869,0.990394636768953,0.7574100474157629,0.9916381694989254,0.9912126707294368,0.9624248350273877,-0.8020050081324983,0.9917296430257164,-0.8235621019955162,0.9895828308879063,0.9686622573226975,-0.8683449979907893,0.7978832080549624,-0.9570985922521712,0.9927137787165383,-0.9666055593894876,0.9844671432965646,0.9683056694585261,0.9878511919140802,0.995001469732671,-0.9733290813258292,0.981773253800455,0.6288502546596827,0.9922314795791151,0.9893151567913974,0.9928078732564605,-0.8325661226579707,0.9893186995302318,-0.5963706465769694,-0.9446638513787744,0.8158463433321432,0.6701655715222931,-0.3711750549556736
CAG,-0.940081654679311,-0.9623269257524226,-0.9316895433610263,-0.9587723114352165,0.9556106769311521,-0.8364804339776063,0.9389067000348614,-0.3244945421473501,-0.9638339964343003,1.0,-0.9623282506511338,-0.9587368093864189,-0.49396440921597856,0.1255376267772777,-0.9643725402783004,-0.9892973983320924,-0.9672909661909054,-0.7309780950585797,-0.9561120867231555,-0.9491600636272792,-0.886317185708185,0.842814874545896,-0.9562836124921551,0.8484487645354256,-0.9565488687155803,-0.901463520170142,0.9620143548930135,-0.7117203923359144,0.9517368985310086,-0.9609193124136591,0.9095479959663662,-0.9326752601347752,-0.902679345802174,-0.9548510860107177,-0.9608696436122885,0.9574050177043278,-0.9304668132791128,-0.44750746450677553,-0.9679472419823288,-0.9470864349324011,-0.96051263104315,0.9148793941968567,-0.9516660947426285,0.7128361804297484,0.984908120410656,-0.6838177760902762,-0.7051762200804209,0.538012021168263
