ann_ret,ann_vol,sharpe,max_dd,cvar_5pct,var_5pct,strategy,crisis_ann_ret,crisis_vol,crisis_cvar,n_days,model_ann_ret,model_ann_vol,model_sharpe,baseline_ann_ret,baseline_ann_vol,baseline_sharpe,excess_ann_ret,info_ratio,win_rate_vs_baseline,dir_agreement
0.0794038472281939,0.41437182405061895,0.191624629425803,-0.59615294459079,-0.03161459814620682,-0.014651563624912975,defensive_ew,0.07734587148722259,0.8983693878151242,-0.08155520370851489,,,,,,,,,,,
0.07146346250537448,0.37293464164555706,0.19162462942580294,-0.5578239369726583,-0.028453138331586136,-0.013186407262421679,cash_10,0.06961128433850032,0.8085324490336118,-0.07339968333766339,,,,,,,,,,,
0.0635230777825551,0.3314974592404952,0.19162462942580294,-0.5158571342899996,-0.02529167851696545,-0.01172125089993038,cash_20,0.061876697189778035,0.7186955102520993,-0.06524416296681192,,,,,,,,,,,
0.07855931983966462,0.3088520654985987,0.25435905605112763,-0.5962645261295715,-0.02853655271988976,-0.014034290008297095,low_vol_tilt,0.07823177424064559,0.6572917149433894,-0.06888964326269606,,,,,,,,,,,
0.05349485487761162,0.4772043987954634,0.11210050664377944,-0.5897311824285116,-0.04159346417347873,-0.01646129494963968,dividend_etf_30,0.07907757510092034,0.8057454989814898,-0.0826638543088407,,,,,,,,,,,
0.21271123916134776,0.3907066156478073,0.5444270218170326,-0.5007766636707411,-0.02401148957353231,-0.011948478328101364,put_proxy,0.5391005778925503,0.8469038751575588,-0.062418774581061154,,,,,,,,,,,
0.10416805912266644,0.2790187306590276,0.37333715509574195,-0.8006066558007764,-0.04087772470871751,-0.02159307101567806,dual_quality,0.051739391292273965,0.4999283499319711,-0.07697844399571818,,,,,,,,,,,
0.0526150490057096,0.3541292574244028,0.14857583185411197,-0.5532310859180753,-0.03503903225955398,-0.015095020607538697,tail_combo,0.07291743593129693,0.5929667592176697,-0.06673328325750184,,,,,,,,,,,
0.0526150490057096,0.3541292574244028,0.14857583185411197,-0.5532310859180753,-0.03503903225955398,-0.015095020607538697,regime_recommended,0.07291743593129693,0.5929667592176697,-0.06673328325750184,,,,,,,,,,,
,,,,,,regime_recommended_vs_defensive_ew_OOS_2y,,,,504.0,0.0952,1.176,0.0469,0.1038,2.1791,0.0293,-0.0086,-0.0086,0.4643,0.9524
