group,metric,n,mean,median,std,p25,p75
sector_Consumer Staples,earnings_stability,14,0.8042857142857144,0.85,0.10513353995985199,0.74,0.8775
sector_Consumer Staples,interest_coverage,14,7.714285714285714,8.0,2.461955419944869,5.5,9.75
sector_Consumer Staples,mktcap_to_assets,14,2.162142857142857,1.9489999999999998,1.5049454122583819,0.9385,3.2912500000000002
sector_Information Technology,roe,13,0.2469230769230769,0.2,0.23308580841149518,0.1,0.3
sector_Information Technology,roic,13,0.15384615384615385,0.12,0.1353933563611803,0.08,0.18
sector_Information Technology,debt_to_equity,13,0.6423076923076925,0.3,0.7274418173525193,0.2,0.8
sector_Information Technology,ev_ebitda,3,13.833333333333334,7.0,10.019425576792758,6.75,17.5
sector_Information Technology,pb_ratio,20,11.946000000000002,6.535,11.83227002734471,4.180000000000001,14.545
sector_Information Technology,earnings_stability,13,0.5700000000000001,0.55,0.21512071745167427,0.4,0.78
sector_Information Technology,interest_coverage,13,14.384615384615385,10.0,13.4137613696845,5.0,20.0
sector_Information Technology,mktcap_to_assets,15,3.6081999999999996,2.929,2.7149685866813753,1.611,4.25
sector_Financials,roe,12,0.13999999999999999,0.14,0.03651483716701107,0.12,0.1525
sector_Financials,roic,12,0.10916666666666669,0.1,0.031743328257901514,0.0975,0.12
sector_Financials,debt_to_equity,12,0.5875,0.4,0.3862884285090611,0.3,0.875
sector_Financials,ev_ebitda,6,10.166666666666666,9.5,2.748737083745107,8.625,10.0
sector_Financials,pb_ratio,19,2.3142105263157893,1.59,2.2702360549406206,1.23,2.3449999999999998
sector_Financials,earnings_stability,12,0.7675000000000001,0.79,0.07562241731127087,0.7424999999999999,0.825
sector_Financials,interest_coverage,12,9.5,8.0,4.536885862938733,7.5,12.0
sector_Financials,mktcap_to_assets,18,0.5502222222222223,0.2375,0.8791774915956364,0.15,0.60575
sector_Materials,roe,14,0.115,0.1,0.05815619362667108,0.07250000000000001,0.1425
sector_Materials,roic,14,0.07928571428571429,0.07,0.03432289650495418,0.052500000000000005,0.095
sector_Materials,debt_to_equity,14,0.642857142857143,0.55,0.3267027607436934,0.42500000000000004,0.7
sector_Materials,ev_ebitda,5,7.6,7.0,1.624807680927192,6.0,9.0
sector_Materials,pb_ratio,15,0.7266666666666667,1.4,3.9185654971629034,1.015,2.0
sector_Materials,earnings_stability,14,0.5514285714285714,0.55,0.05166611805721464,0.5125,0.5875
sector_Materials,interest_coverage,14,5.571428571428571,5.0,3.133101742780187,4.0,5.75
sector_Materials,mktcap_to_assets,15,0.9081333333333335,0.836,0.5364628432820135,0.46,1.201
sector_Consumer Discretionary,roe,8,0.35750000000000004,0.265,0.33116272435163957,0.1875,0.325
sector_Consumer Discretionary,roic,8,0.13,0.13,0.04,0.1,0.165
sector_Consumer Discretionary,debt_to_equity,8,1.2999999999999998,0.8,1.2237238250520417,0.475,1.525
sector_Consumer Discretionary,ev_ebitda,3,11.5,10.0,4.813176359397884,8.25,14.0
sector_Consumer Discretionary,pb_ratio,8,6.43375,3.83,10.991276014981153,2.52,14.0475
sector_Consumer Discretionary,earnings_stability,8,0.7224999999999999,0.75,0.16138076093512513,0.6875,0.8200000000000001
sector_Consumer Discretionary,interest_coverage,8,12.625,11.0,6.556247020971678,7.5,16.25
sector_Consumer Discretionary,mktcap_to_assets,7,2.630142857142857,1.551,1.870448489272134,1.4104999999999999,3.8985000000000003
sleeve_aerospace_defense,roe,5,0.064,0.12,0.09911609354691095,0.0,0.14
sleeve_aerospace_defense,roic,5,0.08,0.1,0.06899275324264137,0.08,0.12
sleeve_aerospace_defense,debt_to_equity,5,1.78,0.8,1.6975276139138356,0.6,2.0
sleeve_aerospace_defense,ev_ebitda,5,17.8,15.0,5.74108003776293,14.0,20.0
sleeve_aerospace_defense,pb_ratio,7,10.278571428571428,3.82,16.302340260195276,2.75,5.715
sleeve_aerospace_defense,earnings_stability,5,0.724,0.8,0.16523922052587878,0.75,0.82
sleeve_aerospace_defense,interest_coverage,5,6.2,6.0,3.9698866482558417,3.0,9.0
sleeve_aerospace_defense,mktcap_to_assets,7,2.0212857142857144,1.8,1.041602435026465,1.3425,2.432
sleeve_quality_growth,roe,3,0.26666666666666666,0.25,0.062360956446232345,0.225,0.3
sleeve_quality_growth,roic,3,0.20666666666666667,0.22,0.041899350299921784,0.185,0.235
sleeve_quality_growth,debt_to_equity,3,0.4000000000000001,0.3,0.2943920288775949,0.2,0.55
sleeve_quality_growth,ev_ebitda,1,7.0,7.0,0.0,7.0,7.0
sleeve_quality_growth,pb_ratio,3,5.293333333333333,6.89,2.7677949506581747,4.145,7.24
sleeve_quality_growth,earnings_stability,3,0.8166666666666668,0.85,0.08498365855987977,0.7749999999999999,0.875
sleeve_quality_growth,interest_coverage,3,26.0,30.0,13.366625103842281,19.0,35.0
sleeve_quality_growth,mktcap_to_assets,2,3.6574999999999998,3.6574999999999998,3.0575,2.12875,5.186249999999999
sleeve_launch_services,pb_ratio,4,13.3675,13.38,4.127459115484974,9.89,16.8575
sleeve_launch_services,mktcap_to_assets,4,15.619499999999999,12.5435,12.897381798256573,7.09275,21.07025
sleeve_growth_ai,roe,5,0.29000000000000004,0.12,0.3171119676076575,0.08,0.3
sleeve_growth_ai,roic,5,0.192,0.1,0.19009471323527127,0.05,0.22
sleeve_growth_ai,debt_to_equity,5,0.17,0.2,0.09797958971132713,0.15,0.2
sleeve_growth_ai,ev_ebitda,1,28.0,28.0,0.0,28.0,28.0
sleeve_growth_ai,pb_ratio,5,21.351999999999997,24.46,15.435449329384616,5.0,34.07
sleeve_growth_ai,earnings_stability,5,0.47000000000000003,0.45,0.09273618495495704,0.4,0.55
sleeve_growth_ai,interest_coverage,5,18.0,15.0,17.4928556845359,5.0,20.0
sleeve_growth_ai,mktcap_to_assets,2,2.862,2.862,1.1380000000000001,2.293,3.431
sleeve_starlink_supply,roe,1,0.16,0.16,0.0,0.16,0.16
sleeve_starlink_supply,roic,1,0.12,0.12,0.0,0.12,0.12
sleeve_starlink_supply,debt_to_equity,1,0.3,0.3,0.0,0.3,0.3
sleeve_starlink_supply,ev_ebitda,1,6.5,6.5,0.0,6.5,6.5
sleeve_starlink_supply,pb_ratio,11,12.264545454545454,6.72,10.897483749293489,4.765000000000001,15.370000000000001
sleeve_starlink_supply,earnings_stability,1,0.45,0.45,0.0,0.45,0.45
sleeve_starlink_supply,interest_coverage,1,10.0,10.0,0.0,10.0,10.0
