ticker,mean_corr_to_mkt,std_corr_to_mkt,last_corr_to_mkt,vol_63d
DVN,0.36178080539069424,0.3154684151685456,-0.9191422443069031,1.6174200515519737
LXU,0.2822764614117393,0.2913836028253447,-0.9972534848374356,8.587090657059665
STM,0.5628385739095159,0.28286874438850923,0.8593512374318355,1.8488612609818018
BEN,0.6024077747757035,0.28130720239450696,-0.9712818005293054,1.4636322871694358
CW,0.45331764419333404,0.2767487526511196,0.9992435488769511,12.612535298817932
FMC,0.492301090698852,0.27659746701656407,-0.991841135864272,6.157432341469007
PFE,0.4911349880038989,0.2687685841877837,-0.9956449019284347,2.8039610905307057
HMC,0.4036828373184694,0.26614995569339106,-0.9804794289891018,1.9151883634592215
CAG,0.3768100332805881,0.26187111436432386,-0.9965785135159136,5.710668651029969
HEI,0.40049667729002403,0.2596844866713175,0.9985842381399505,9.818746971974914
VZ,0.4492647741909432,0.2593328311073041,-0.8722442588412445,1.0355977220537864
CPB,0.37784760111168614,0.25867708140140094,-0.994409808563366,4.647488165563769
WM,0.434120237078932,0.2556605036622587,0.9980627683932284,4.56271345879855
SHEL,0.4597919307686558,0.25236397764546126,0.7607044962817919,0.46939410916254615
O,0.44104204562486404,0.2503680906468416,0.9914131145474134,2.3675800878697433
HBAN,0.5027591253911853,0.2456491652391492,0.7748540503870265,0.6116542722148646
MOS,0.4305492177079791,0.24406762956224975,-0.9273866282200663,1.328598031632379
FITB,0.5186205068397545,0.2425506966252233,0.9660345086965797,1.5426578134904336
RF,0.5179671164038133,0.2387900090259366,0.8685695066636465,0.5492779028929858
HPQ,0.5442082560688835,0.23836303622939117,-0.9621840520379356,3.231784919239253
MSFT,0.5466846517819562,0.23160749406733447,-0.9370042096021832,1.404393548736484
GIS,0.40658331994100155,0.23145779185348855,-0.9871387029212676,2.5832490084146382
AFL,0.528815254879365,0.22723360480053467,0.9954052439507274,3.025522259961818
BAC,0.5634859924463109,0.22476148967746906,-0.9816261249841998,1.6792493616250797
IVZ,0.6437920494829051,0.22396304323003371,0.9817376851148029,1.8226103787048231
SO,0.4091775107345763,0.2196216547930011,0.9982559894646474,4.780993947449222
NKE,0.4527287783687167,0.21927081507493756,-0.9887737695265116,2.6300142858121816
CB,0.5490638091103435,0.21768633216955113,0.9990667495753688,9.359229176742229
NOC,0.4545478948716267,0.21560304030325675,0.9994532633587199,9.256455164387267
DUK,0.425122133651192,0.21353601777954223,0.9991830699078889,5.340159954690179
VLO,0.4212027943315385,0.21284512899415192,0.9972262164014055,6.891390051435607
D,0.42216301907551207,0.2111261379642724,0.7153058662202599,0.593502132928356
MKC,0.3649629333767525,0.21028462740399728,-0.979649761941483,2.169776401044382
TDW,0.39453654067295435,0.20981941923649125,0.9704577076315632,2.5699255488711312
NEE,0.4099463815877969,0.20718488449276853,0.6396559423261319,0.5271270799543738
LLY,0.4932837920848685,0.20496151804687276,0.9992761530731282,16.145256677613805
CVX,0.5210958228264408,0.20482748401899026,0.9975405957358,6.6264675515117775
MO,0.4732174231178487,0.20459241064409558,0.9867947035113491,2.0749169765699054
UNH,0.4137997558707364,0.20362600364760078,0.9989325919583497,8.933805027957225
AEP,0.41245693542849243,0.20201524961525447,0.9992378199349293,6.384863540401335
ALL,0.5671658028188669,0.20178672701539144,0.9985099867959412,7.101117176464416
T,0.49882336038293246,0.20161548230048612,-0.8898944316533941,1.8014765719282546
CL,0.4692927942216,0.2015319154713912,-0.8966443521217784,0.5984168045136035
BMY,0.512403533761947,0.2000776289163469,-0.030900285086504577,0.35981947741227965
SMG,0.44862461907870016,0.1992007488430379,0.8045225892817138,0.8398750243987256
XOM,0.5400826176728524,0.19749033966511195,0.996571319088529,4.099025876271607
MRK,0.5009284531235311,0.19703651695237764,0.9903356099889941,3.3693257875242058
JNJ,0.5230796328497367,0.1960128095041617,0.9962305577625697,6.380058972096314
REGN,0.4158694739115212,0.1958607720137703,0.9993708067457024,11.157269410421497
KO,0.5169389483733421,0.19516359881389359,0.31599668026035066,0.31285770260128415
LRCX,0.5312599830033882,0.19334154995080738,0.9954697410901642,9.895909241515087
PG,0.497492604126079,0.19322836664665666,0.9982309732946653,3.863435564558483
GD,0.5298886105349497,0.19288694198615583,0.9994832782389055,9.69165882247134
NUE,0.5511585978330081,0.19263550015613698,0.9970986904710518,5.424176557297087
LMT,0.46444574774375275,0.1914298502972689,0.999427054451423,10.765997881741786
KMB,0.4589701605682674,0.18938426091164945,0.9918617537331612,3.0024724861042453
HON,0.5870381744534575,0.18918814800682293,0.9988723345475388,7.06988818249794
MMM,0.6023360819355732,0.18767923970601472,0.997403070579299,5.447895938837109
INTC,0.5872655530448575,0.18327510171369815,0.9844696379340968,5.075231395109152
SBUX,0.5248369915598686,0.18170362823620848,0.9863199409678971,1.7889371683519852
PEP,0.501682284268475,0.18168756545862771,0.9989262358267885,6.360636932298499
COST,0.49935437636014435,0.1815291548097735,0.9993850745086942,14.999191493928702
DD,0.6115863958660664,0.18078981044646183,0.9989559448807208,5.190650967531686
ORCL,0.5533609720394683,0.1800448959578965,0.9784966873114903,5.076257709984823
CAT,0.574111042737561,0.1776653153268227,0.9990952619479417,13.26028450054682
AMD,0.48744457879219477,0.17738649206998677,0.9912725487633876,6.116784946872074
C,0.6203687488248367,0.1770568861017433,0.995541375582685,3.451047561207966
TGT,0.484323347111874,0.1765457929588438,0.8668290004745864,0.7107244919382997
IBM,0.5899046907494853,0.17565000072987577,0.9898518369456984,6.613762983599378
RTX,0.5942438426092982,0.17485758764956713,0.9981457280354912,6.57109970607613
TRV,0.5372984701628435,0.17457962008729164,0.998691125756533,7.752744014297367
MCHP,0.5866103317082184,0.17176134190458284,0.92459718428841,2.0128807551636405
BA,0.5583580344957729,0.17097133997303995,0.9977470414378715,5.446901114867768
MCD,0.5230343388981281,0.17042157155987053,0.9994592754420153,9.419737996277405
DE,0.5564796260394115,0.1673051495293658,0.9994599838636434,11.406372350916229
MU,0.5207043872939543,0.16687295589266057,0.996614521100159,17.10650007584173
JPM,0.6425104157874563,0.16678256902624825,0.9992754354021969,8.311455476186353
SCHW,0.6263291055090326,0.16339945083621413,0.9815187827659952,1.4674485529747854
CSCO,0.6137578147822426,0.1601362419903082,0.9916189995949434,4.078433260819062
AMAT,0.5783857410859743,0.15771001874233384,0.994334975575156,10.288703003734843
