quintile,n,mean_mom_score,mean_ret_21d,mean_mom_12_1
1,27,-0.7722618129820967,-0.07676072800182228,0.3076228581635333
2,26,-0.3229340910243145,-0.031155306443484132,0.13285780480345627
3,26,-0.03656327490231101,0.048434287046237416,0.17201603609104518
4,26,0.2649317773124175,0.046915854830553834,0.266394998558919
5,26,0.8965297790186931,0.01935646327439083,1.0787636444195803
