ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
DOW,Materials,SATELLITE,0.5037,0.1,0.07,,1.37,0.362,mixed-assets,-0.8490339748612996,0.2089877396262744,-0.3345771387719088,-0.3496031823101403,0.323943661971831,True,Materials,0.05,hold,-0.15,AVOID,Stress,"satellite,weak_momentum,sp500_member,stress_regime_haircut"
ANDE,Consumer Staples,WATCH,0.4459,0.08,0.06,,1.9,0.58,,,,,-0.1281886037905044,0.0492957746478873,,,0.03,reduce_or_avoid,-0.18,AVOID,Stress,"low_liquidity,sp500_member,stress_regime_haircut"
MCD,Consumer Discretionary,WATCH,0.4547,1.2,0.18,18.0,15.0,3.818,,-0.6264218899849746,-0.0801127670850716,-0.1292985103767597,0.2540124123077489,0.7253521126760564,True,Consumer Discretionary,0.05,reduce_or_avoid,-0.18,AVOID,Stress,"weak_momentum,sp500_member,stress_regime_haircut"
CTVA,Materials,AVOID,0.3114,0.08,0.06,,2.46,1.423,,0.2348518195903237,0.1862297923365987,0.0441378288188779,-0.0822363960525238,0.2676056338028169,,,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"decision_avoid,positive_momentum,sp500_member,stress_regime_haircut"
GSAT,Communication Services,AVOID,0.11,,,,30.04,6.876,,0.4416671178589293,1.9254003176415733,0.0066669656834006,0.0375957376442468,0.1056338028169014,,,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"decision_avoid,positive_momentum,low_liquidity,sp500_member,stress_regime_haircut"
ORCL,Information Technology,WATCH,0.3865,0.5,0.18,,9.78,2.625,,-1.5431281622289834,-0.4255466930957383,-0.4112827658430619,-0.4052502891155405,0.9366197183098592,True,Information Technology,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"weak_momentum,sp500_member,stress_regime_haircut"
ENPH,Information Technology,AVOID,0.2238,0.1,0.08,,4.18,,,-0.1627979110502461,0.2586206358393359,0.1033390686288608,-0.2501450176029125,0.2112676056338028,,,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"decision_avoid,positive_residual_mom,sp500_member,stress_regime_haircut"
GD,Industrials,AVOID,0.11,,,,3.85,1.879,,0.0904339474055616,0.1765410565201444,0.0116654392434917,-0.0135276898089517,0.4366197183098591,True,Industrials,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"decision_avoid,positive_momentum,sp500_member,stress_regime_haircut"
PEP,Consumer Staples,WATCH,0.3795,0.5,0.14,,8.67,1.915,,-0.6976314172717494,-0.0343488762849922,-0.1559323634145294,-0.1444938494898834,0.7464788732394366,True,Consumer Staples,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"weak_momentum,sp500_member,stress_regime_haircut"
PLD,Real Estate,AVOID,0.3146,0.08,0.05,22.0,2.5,1.222,,0.0142071186475769,0.3130237260585453,-0.0474416349088726,-0.3420078533090385,0.5492957746478874,True,Real Estate,0.03,reduce_or_avoid,-0.23,AVOID,Stress,"decision_avoid,positive_momentum,sp500_member,stress_regime_haircut"
