ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
HEI,Industrials,WATCH,0.3567,0.16,0.12,28.0,7.0,4.0,,0.5333648911934277,0.1570958515090077,0.2034153710656346,-0.0944407808049221,0.1408450704225352,,,0.03,reduce_or_avoid,0.17,WATCH,Stress,"strong_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
CAG,Consumer Staples,INCLUDE_VALUE,0.6759,0.1,0.07,8.5,1.1,0.352,mixed-assets,-0.2133881476570217,-0.2653688618698543,0.039660254061518,0.0316065015718183,0.2464788732394366,True,Consumer Staples,0.08,hold,0.17,WATCH,Stress,"value_trifecta,sp500_member,stress_regime_haircut"
XOM,Energy,SATELLITE,0.6618,0.16,0.12,6.5,2.0,1.211,,0.0849929517548919,0.274070616003421,-0.0458983556816635,0.2323311401098161,0.8591549295774648,True,Energy,0.08,hold,0.15,AVOID,Stress,"satellite,positive_momentum,sp500_member,stress_regime_haircut"
NVDA,Information Technology,SATELLITE,0.5088,0.9,0.55,,24.17,,,-0.3399630368032045,0.0729115356582084,-0.1174717834599638,0.9378914843636612,0.9859154929577464,True,Information Technology,0.05,hold,0.15,AVOID,Stress,"satellite,high_factor_composite,sp500_member,stress_regime_haircut"
XLE,Energy,SATELLITE,0.6779,0.14,0.1,7.0,1.8,0.9,,0.0467771513554313,0.2428771975712085,-0.0245126207842906,0.1564473790628748,0.823943661971831,,,0.08,hold,0.15,AVOID,Stress,"satellite,positive_momentum,sp500_member,stress_regime_haircut"
SHEL,Energy,SATELLITE,0.5775,0.12,0.1,,1.47,0.626,,0.1239582165436742,0.0724398163995383,-0.0540376465542121,0.0723874760992312,0.528169014084507,True,Energy,0.05,hold,0.15,AVOID,Stress,"satellite,positive_momentum,sp500_member,stress_regime_haircut"
BLK,Financials,INCLUDE_QUALITY,0.5962,0.22,0.18,16.0,3.5,1.077,,,,,-0.0206139182514985,0.6408450704225352,True,Financials,0.05,hold,0.12,AVOID,Stress,"buffett_quality,sp500_member,stress_regime_haircut"
IVZ,Financials,WATCH,0.36,,,,1.04,0.325,low-MCA,0.4259561155880966,0.2551115081011794,0.1523478753342007,0.3771860466751054,0.1338028169014084,,,0.03,reduce_or_avoid,0.12,AVOID,Stress,"positive_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
BEN,Financials,WATCH,0.36,,,,1.42,0.345,low-MCA,0.2688374776482557,0.3104110530374069,0.1381675080756192,0.220781513556096,0.1478873239436619,,,0.03,reduce_or_avoid,0.12,AVOID,Stress,"positive_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
VLO,Energy,AVOID,0.11,,,,3.88,1.424,,1.13191113111716,0.9666545851570474,0.1255198651118689,0.3873500607464499,0.6197183098591549,True,Energy,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SATS,Communication Services,AVOID,0.11,,,,5.34,1.506,,0.9601445480116116,0.1492516255234597,0.2381710447145457,0.294872405322724,0.2183098591549295,,,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
PSX,Energy,AVOID,0.1797,,,,2.96,1.126,,0.7796636696873558,0.4392233278972808,0.0652499767660417,0.2813413658494144,0.4718309859154929,True,Energy,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
CRWD,Information Technology,AVOID,0.185,0.05,0.04,,40.7,,,1.7401917050813722,0.7956123106493438,0.4033589688355026,0.3020070019854946,0.8098591549295775,True,Information Technology,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
MPC,Energy,AVOID,0.11,,,,5.49,1.411,,1.0998885416109876,0.6468806847198976,0.105895236270256,0.3468567459183926,0.5352112676056338,True,Energy,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
CFG,Financials,WATCH,0.36,,,,1.26,0.168,low-MCA,0.0838732593492785,0.4619980323861909,-0.0085317367031177,0.1827526648159377,0.3661971830985915,True,Financials,0.03,reduce_or_avoid,0.07,AVOID,Stress,"positive_momentum,sp500_member,stress_regime_haircut"
AMD,Information Technology,AVOID,0.3219,0.12,0.1,28.0,5.0,4.0,,1.9348073397229568,1.807830020960357,0.2757246516551243,0.406914521311928,0.971830985915493,True,Information Technology,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
HON,Industrials,WATCH,0.4542,0.28,0.16,,5.64,1.18,,0.0627870443199713,0.0582551191961813,0.0124804973872276,0.0678741469417006,0.647887323943662,True,Industrials,0.05,reduce_or_avoid,0.07,AVOID,Stress,"positive_momentum,sp500_member,stress_regime_haircut"
REGN,Health Care,WATCH,0.4971,0.18,0.16,,2.39,,,0.0489937000285696,0.1651144755655575,-0.0529676636586032,0.0891389478461851,0.4929577464788732,True,Health Care,0.05,reduce_or_avoid,0.07,AVOID,Stress,"positive_momentum,sp500_member,stress_regime_haircut"
LMT,Industrials,WATCH,0.4342,0.55,0.2,,15.06,2.409,,0.1365052725060605,0.2334997042504227,0.0318287354591494,0.295800736394793,0.5563380281690141,True,Industrials,0.03,reduce_or_avoid,0.07,AVOID,Stress,"positive_momentum,sp500_member,stress_regime_haircut"
AMAT,Information Technology,AVOID,0.11,,,,16.66,7.243,,1.004970798902136,2.173393579440695,0.1874970029818119,0.2647781692637079,0.9295774647887324,True,Information Technology,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
LRCX,Information Technology,AVOID,0.11,,,,35.17,10.638,,0.509746386592633,2.292205459012732,0.0766346678184251,0.0620411222029939,0.9154929577464788,,,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
RTX,Industrials,AVOID,0.2736,0.12,0.08,,4.36,1.7,,0.5789309543162551,0.2796223197532959,0.1299583218032563,0.0448497694140727,0.7112676056338029,True,Industrials,0.03,reduce_or_avoid,0.07,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
TGT,Consumer Discretionary,SATELLITE,0.5386,0.25,0.12,10.0,3.5,1.273,,,,,0.0094960201304555,0.4859154929577465,True,Consumer Discretionary,0.05,hold,0.05,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
XLF,Financials,SATELLITE,0.7267,0.12,0.1,10.0,1.5,0.15,mixed-assets,-0.0025120609156287,0.0542077464241368,-0.0176967253251019,0.033143210191742,0.8380281690140845,,,0.08,hold_or_add,0.05,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
DVN,Energy,SATELLITE,0.7158,0.18,0.12,4.5,1.5,0.9,,-0.4643435922130606,0.2037478437371962,-0.1936307731049618,0.3074345561752332,0.4647887323943662,True,Energy,0.08,hold_or_add,0.05,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
JPM,Financials,SATELLITE,0.6179,0.15,0.12,10.0,1.8,0.15,levered-assets,0.1589998278486667,0.1512408447527842,0.0131625855655267,0.0580955661149458,0.9014084507042254,True,Financials,0.08,hold,0.03,AVOID,Stress,"satellite,positive_momentum,levered_assets_flag,sp500_member,stress_regime_haircut"
XLP,Consumer Staples,WATCH,0.4718,0.18,0.12,14.0,4.5,2.0,,-0.0124687293044272,0.0285610636427069,0.1153275775449283,-0.1518792548695354,0.6971830985915493,,,0.05,reduce_or_avoid,0.02,AVOID,Stress,"positive_residual_mom,sp500_member,stress_regime_haircut"
SMG,Materials,WATCH,0.3807,0.12,0.08,,-13.88,1.046,,0.2016458758037496,0.0801693859600352,0.1377361926450847,-0.2128756350593067,0.0915492957746478,,,0.03,reduce_or_avoid,0.02,AVOID,Stress,"positive_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
SO,Utilities,SATELLITE,0.536,0.11,0.05,12.0,2.4,0.643,,-0.3146114380140042,0.0336533643907128,-0.0596845050149783,-0.3260671187721293,0.4295774647887324,True,Utilities,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
PFE,Health Care,SATELLITE,0.7121,0.12,0.1,9.0,1.6,0.665,,-0.4635257337458006,-0.0333863337711543,-0.1264895520802724,-0.125663386842113,0.6901408450704225,True,Health Care,0.08,hold_or_add,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
CAT,Industrials,SATELLITE,0.5438,0.4,0.18,13.0,8.0,2.0,,-0.4139505244752547,1.3290548727726117,-0.1544356055374648,-0.0815683781037976,0.8873239436619719,True,Industrials,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
MKC,Consumer Staples,SATELLITE,0.5094,0.22,0.12,,1.96,1.054,,-0.4054121046732796,-0.2431322757839116,0.0198457353721892,-0.0968022850990027,0.204225352112676,True,Consumer Staples,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
CB,Financials,SATELLITE,0.5563,0.13,0.1,,1.79,0.675,,-0.030980532088868,0.3131544582858208,-0.0054075965490453,-0.026326669616175,0.5915492957746479,True,Financials,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
SCHD,Multi-Sector,SATELLITE,0.5681,0.18,0.14,12.0,3.0,1.5,,-0.0015474122990975,0.1795338845427516,-0.015056881015896,-0.0342565557978255,0.5845070422535211,,,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
CL,Consumer Staples,SATELLITE,0.5156,0.35,0.18,16.0,80.0,4.875,,-0.0953355452137235,0.1018068252067996,0.0441901998285063,-0.0769599108738705,0.4014084507042254,True,Consumer Staples,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
VIG,Multi-Sector,SATELLITE,0.5063,0.2,0.15,16.0,4.0,2.0,,-0.0590545109227481,0.1365021312957854,0.0014328028734413,-0.1219507680413374,0.2746478873239437,,,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
DD,Materials,SATELLITE,0.5726,0.06,0.05,10.0,1.8,0.778,,-0.2163243187920744,0.5064419563463902,-0.0795016525006104,-0.2163102346453181,0.1971830985915492,True,Materials,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
PYPL,Financials,SATELLITE,0.557,0.18,0.12,,2.51,0.616,,,,,-0.0073708436241115,0.704225352112676,,,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
VYM,Multi-Sector,SATELLITE,0.5611,0.14,0.11,11.0,2.5,1.2,,-0.1095979494409209,0.1591800669066505,-0.0355477604389732,-0.1054879461228034,0.2253521126760563,,,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
GIS,Consumer Staples,SATELLITE,0.5272,0.28,0.12,12.0,3.8,1.125,,-0.4124892831869797,-0.2445204093976406,0.0242312384357775,-0.1907476472583543,0.380281690140845,True,Consumer Staples,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
VZ,Communication Services,SATELLITE,0.5274,0.2,0.08,,1.84,0.507,,-0.0764319176811606,-0.0263097171189409,0.0450595216432737,-0.0403539605791196,0.7605633802816901,True,Communication Services,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
XLU,Utilities,SATELLITE,0.5043,0.1,0.05,12.0,2.0,1.0,,-0.3749459348953942,0.0584017040716102,-0.0919348126994739,-0.3246229672806837,0.6338028169014085,,,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
O,Real Estate,SATELLITE,0.5091,0.05,0.04,15.0,1.4,0.714,,-0.1922121222057671,0.1027811509012279,-0.0673372590587276,-0.2752365918989506,0.3309859154929577,True,Real Estate,0.05,hold,0.0,AVOID,Stress,"satellite,sp500_member,stress_regime_haircut"
IRDM,Communication Services,AVOID,0.11,,,,10.68,1.683,,1.2731736855617497,1.1517214165324217,0.1676130604828916,0.3807202802332073,0.1126760563380281,,,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"decision_avoid,strong_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
HBAN,Financials,WATCH,0.36,,,,1.16,0.192,low-MCA,-0.3229389059326099,0.0681818985534608,-0.0123777554412993,0.0513500352662321,0.4436619718309859,True,Financials,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"sp500_member,stress_regime_haircut"
INTC,Information Technology,AVOID,0.11,,,,4.11,2.873,,0.763475273836814,4.4162917278664935,-0.0875707944229386,0.2398992588418808,0.9577464788732394,True,Information Technology,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"decision_avoid,strong_momentum,sp500_member,stress_regime_haircut"
NKE,Consumer Discretionary,WATCH,0.4626,0.3,0.18,,4.22,1.568,,,,,0.1136005196562926,0.6267605633802817,True,Consumer Discretionary,0.05,reduce_or_avoid,-0.03,AVOID,Stress,"sp500_member,stress_regime_haircut"
BMY,Health Care,AVOID,0.3185,0.18,0.12,,6.6,1.394,,0.4029733599564606,0.2148380965895728,0.0635976324117662,0.0560940525512214,0.5633802816901409,True,Health Care,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"decision_avoid,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SCHW,Financials,AVOID,0.3199,0.14,0.1,,3.61,,,0.3580662103751487,0.0147505357895956,0.1887779535805595,0.0251439055826635,0.6549295774647887,True,Financials,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"decision_avoid,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
STM,Information Technology,AVOID,0.176,,,,2.65,1.352,,0.3960810460754251,1.6137667101795017,0.1134800419374648,0.1481362947693873,0.6126760563380281,,,0.03,reduce_or_avoid,-0.03,AVOID,Stress,"decision_avoid,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
LXU,Materials,SATELLITE,0.5284,0.15,0.1,,1.46,0.567,,,,,0.0452790351918214,0.0352112676056338,,,0.05,hold,-0.05,AVOID,Stress,"satellite,low_liquidity,sp500_member,stress_regime_haircut"
ASIX,Materials,SATELLITE,0.5,0.1,0.07,,0.7,0.347,mixed-assets,,,,0.2379621091774652,0.0422535211267605,,,0.05,hold,-0.05,AVOID,Stress,"satellite,low_liquidity,sp500_member,stress_regime_haircut"
UAN,Materials,SATELLITE,0.6135,0.2,0.12,6.0,2.5,1.127,,-0.0265361294765256,0.2764528397306005,-0.139383245073027,0.217159461828851,0.0140845070422535,,,0.08,hold,-0.05,AVOID,Stress,"satellite,low_liquidity,sp500_member,stress_regime_haircut"
D,Utilities,AVOID,0.3288,,,,2.18,0.558,,0.1843836165619745,0.1231884333953226,0.0886786774004434,0.0967939217440484,0.3098591549295774,True,Utilities,0.03,reduce_or_avoid,-0.08,AVOID,Stress,"decision_avoid,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SYF,Financials,AVOID,0.348,,,,1.7,0.193,low-MCA,0.0254361001895969,0.0515223265166615,0.1262388170867867,0.0837276668600987,0.2816901408450704,,,0.03,reduce_or_avoid,-0.08,AVOID,Stress,"decision_avoid,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
