date,ticker,close,volume,ret
2025-09-01,ABBV,50.48344662698918,3512797.0,-0.7600596573599392
2025-09-02,ABBV,211.9199981689453,4335500.0,3.197811606144376
2025-11-27,ABBV,55.00610272437045,811255.0,-0.7583848640975605
2025-11-28,ABBV,227.6999969482422,2655600.0,3.139540626777758
2025-12-25,ABBV,54.51718155664262,346356.0,-0.7628553582087771
2025-12-26,ABBV,229.97999572753906,1593900.0,3.2184865240803573
2026-01-01,ABBV,53.5935774458373,441798.0,-0.7654445439302127
2026-01-02,ABBV,229.30999755859375,3336800.0,3.2786842843312494
2026-01-19,ABBV,53.76266810402786,1403702.0,-0.7491828011515691
2026-01-20,ABBV,214.0399932861328,8251400.0,2.9812010979807955
2026-02-16,ABBV,62.885305516778736,954287.0,-0.7283572115905886
2026-02-17,ABBV,232.86000061035156,7336400.0,2.702931848652958
2026-04-03,ABBV,62.63300158660102,947769.0,-0.7000909658834481
2026-04-06,ABBV,206.69000244140625,4929100.0,2.3000175180111935
2026-05-25,ABBV,77.86522109341115,303725.0,-0.6390114872737105
2026-05-26,ABBV,213.1199951171875,4706700.0,1.737037051002754
2026-06-19,ABBV,76.60978813994397,720099.0,-0.6461278294791164
2026-06-22,ABBV,230.00999450683594,9912800.0,2.002357793845795
2026-07-03,ABBV,80.06607843410039,1447107.0,-0.6933156770679231
2026-07-06,ABBV,254.75999450683594,8580200.0,2.181871767536611
2025-09-01,AEP,41.83458581475779,1682273.0,-0.623179723655932
2025-09-02,AEP,110.08999633789062,2528600.0,1.6315545903900093
2025-11-27,AEP,39.43698540763726,3302391.0,-0.6786425601747456
2025-11-28,AEP,123.7699966430664,1801300.0,2.1384243842100936
2025-12-25,AEP,35.344870079959364,3049369.0,-0.6934795696097453
2025-12-26,AEP,115.66999816894531,1896100.0,2.272610647804602
2026-01-01,AEP,34.576234216436845,1677766.0,-0.7001453911325665
2026-01-02,AEP,115.80999755859375,3906700.0,2.349410373427538
2026-01-19,AEP,35.47216389279458,2912399.0,-0.7043000653258089
2026-01-20,AEP,119.22000122070312,4776400.0,2.3609452634751764
2026-02-16,AEP,35.621211144776744,4687950.0,-0.7258641644181945
2026-02-17,AEP,130.24000549316406,4034900.0,2.6562486593682704
2026-04-03,AEP,33.70881864273544,3214456.0,-0.7459389470641079
2026-04-06,AEP,132.36000061035156,1852300.0,2.9265689496026397
2026-05-25,AEP,36.380259699686114,3477500.0,-0.7235332417954432
2026-05-26,AEP,130.89999389648438,5996400.0,2.5981049881734015
2026-06-19,AEP,36.377224393513956,2381530.0,-0.7151129791057327
2026-06-22,AEP,130.3000030517578,6591600.0,2.581911628062262
2026-07-03,AEP,36.40877940735441,3343470.0,-0.7371396949585648
