ticker,next_earnings_date,surprise_pct,pre_mom_pctile,pre_mom_flag,iv_vs_realized,atm_iv,iv_rich,expected_drift_20d,catalyst_score
NEE,,,0.548,neutral,0.361,0.0938,False,,0.0
NKE,,,0.004,cold,0.709,0.125,False,,0.0
NOC,,,0.968,hot,0.706,0.125,False,,0.0
NTR,,,0.972,hot,0.82,0.125,False,,0.0
NUE,,,0.988,hot,0.702,0.125,False,,0.0
NVDA,,,0.091,cold,0.972,0.25,False,,0.0
O,,,0.996,hot,0.707,0.125,False,,0.0
ORCL,,,0.964,hot,0.751,0.125,False,,0.0
PEP,,,0.976,hot,0.713,0.0625,False,,0.0
PFE,,,0.008,cold,0.71,0.0625,False,,0.0
PG,,,0.96,hot,0.709,0.0625,False,,0.0
PLD,,,0.988,hot,0.709,0.125,False,,0.0
PLTR,,,0.96,hot,0.722,0.125,False,,0.0
PM,,,0.996,hot,0.716,0.125,False,,0.0
PSX,,,0.996,hot,0.699,0.125,False,,0.0
PYPL,,,0.679,hot,0.714,0.0938,False,,0.0
QQQ,,,0.988,hot,0.71,0.0625,False,,0.0
REGN,,,0.972,hot,0.7,0.0938,False,,0.0
RF,,,0.98,hot,1.043,0.0938,False,,0.0
RKLB,,,0.964,hot,0.735,,False,,0.0
RTX,,,0.98,hot,0.708,,False,,0.0
SATS,,,0.456,neutral,1.662,,True,,0.0
SBUX,,,0.96,hot,0.733,,False,,0.0
SCHD,,,0.012,cold,0.708,,False,,0.0
SCHW,,,0.968,hot,0.839,,False,,0.0
SEDG,,,0.012,cold,0.761,,False,,0.0
SHEL,,,0.984,hot,0.634,,False,,0.0
SMCI,,,0.813,hot,0.626,,False,,0.0
SMG,,,0.976,hot,1.12,,False,,0.0
SO,,,0.988,hot,0.706,,False,,0.0
SPCX,,,0.2,cold,0.825,,False,,0.0
SPLV,,,0.96,hot,0.778,,False,,0.0
SPR,,,0.017,cold,1.141,,False,,0.0
STLD,,,0.996,hot,0.694,,False,,0.0
STM,,,0.23,cold,0.815,,False,,0.0
SYF,,,0.992,hot,0.826,,False,,0.0
T,,,0.004,cold,0.866,,False,,0.0
TDG,,,0.964,hot,0.718,,False,,0.0
TDW,,,0.988,hot,0.725,,False,,0.0
TGT,,,0.968,hot,0.528,,False,,0.0
TRV,,,0.996,hot,0.72,,False,,0.0
TSLA,,,0.028,cold,0.72,,False,,0.0
TTMI,,,0.972,hot,0.827,,False,,0.0
UAN,,,0.98,hot,0.698,,False,,0.0
UNH,,,0.988,hot,0.71,,False,,0.0
USMV,,,0.964,hot,0.724,,False,,0.0
VAL,,,0.909,hot,0.742,,False,,0.0
VIG,,,0.964,hot,0.739,,False,,0.0
VLO,,,0.996,hot,0.706,,False,,0.0
VNQ,,,0.98,hot,0.702,,False,,0.0
VUG,,,0.996,hot,0.706,,False,,0.0
VYM,,,0.964,hot,0.701,,False,,0.0
VZ,,,0.028,cold,0.78,,False,,0.0
WM,,,0.96,hot,0.716,,False,,0.0
XBI,,,0.996,hot,0.717,,False,,0.0
XLE,,,0.04,cold,0.815,,False,,0.0
XLF,,,0.857,hot,0.999,,False,,0.0
XLP,,,0.0,cold,0.686,,False,,0.0
XLU,,,0.0,cold,0.701,,False,,0.0
XLV,,,0.008,cold,0.508,,False,,0.0
XOM,,,0.972,hot,0.697,,False,,0.0
