kind,mean_corr,median_corr,p10,p90,std,n_pairs,n_dates
asset,0.2885787819934292,0.2801571043969142,0.00807658091165215,0.594992320122467,0.24945482488093196,945700,772
sector,0.4205040785772781,0.430741581588835,0.11231101488917573,0.7138276986459529,0.23849180868411707,27792,772
