ticker,ret_21d,ret_63d,ret_126d,ret_252d,mom_12_1,resid_mom_63,beta_est,trail_ann_ret,trail_ann_vol,trail_sharpe,trail_n,ret_21d_z,ret_63d_z,ret_126d_z,mom_12_1_z,resid_mom_63_z,momentum_score,momentum_quintile
MU,-0.1526911803764185,0.517321458274856,1.3053768772151688,5.846653410133317,6.850326095691777,0.41124103372770304,1.7769928013686993,2.242069273537202,0.7993583866917937,2.7547959841275143,252,-1.2460046919669898,3.1232154643755696,4.070167808947138,7.628175663295326,2.7969648831696143,3.274503825564132,5
AMD,-0.1025920531974509,0.4211805425559547,1.424646629346571,1.7744499749379075,1.807830020960357,0.27572465165512433,1.7072569446162214,1.400999212830591,1.160821710215949,1.1724446578255352,252,-0.839210684954658,2.4803231024140318,4.478239328946812,1.6733138872386202,1.8813710649699762,1.9348073397229566,5
CRWD,-0.04122989071899752,0.5788935732284013,0.7837057757398764,0.7000459514348933,0.7956123106493438,0.40335896883550265,0.9619924791749637,0.6383902283906048,0.4655789625394255,1.2852604531931202,252,-0.3409632830711548,3.534946953694741,2.285313598095813,0.47795022946923993,2.7437110272182212,1.7401917050813722,5
IRDM,-0.14501079781119086,0.19428428474759873,1.4418246453490071,0.9140217178736274,1.1517214165324217,0.1676130604828916,0.8118861488380522,0.8567523859806448,0.6561982518469726,1.2446732122217143,252,-1.1836416574187902,0.9630724083479867,4.537012479518719,0.8984920546489095,1.1509331427119232,1.2731736855617497,5
VLO,0.15688089604610256,0.2387632055256912,0.5789979518393948,1.3370068979150669,0.9666545851570474,0.12551986511186897,1.1400125147426763,0.9143854609941674,0.36025998476617027,2.4270957030148503,252,1.2676531802985653,1.2605020533925075,1.5849228337814685,0.6799400946988272,0.8665374934144319,1.13191113111716,5
MPC,0.18578922627044236,0.24368414873760913,0.603103253918106,0.9739801732602837,0.6468806847198976,0.10589523627025609,1.3501395958559708,0.7337244318935372,0.3257433811557486,2.129665472962733,252,1.5023825288955168,1.2934083012780428,1.6673971165189199,0.30230779742526503,0.7339469639371925,1.0998885416109876,5
AMAT,-0.22912536338991318,0.2820532034177692,0.686055036030943,1.6626160633554323,2.173393579440695,0.18749700298181193,1.5647191158014253,1.156683474113155,0.5945095251216854,1.8783273049907654,252,-1.8666336196866473,1.5499813951071246,1.951209727919114,2.1050208095349916,1.2852756816360964,1.004970798902136,5
SATS,-0.011852143666642778,0.21761111654713572,0.8294431472377137,0.11933865881542816,0.14925162552345972,0.23817104471454575,-0.18694776503324842,0.1941923387843656,0.4051323519489743,0.38059744684074465,252,-0.10242237201434119,1.1190584615340342,2.441800204082464,-0.28535994080331917,1.62764638725922,0.9601445480116115,5
HPQ,0.21980018401323131,0.2913462305562764,0.35519682259963736,0.009774444554630835,-0.19196754611792,0.17947132880016997,1.2360813680437253,0.09384227189650118,0.4145516192493987,0.12988074197850158,252,1.7785441021918387,1.612123679920759,0.8192059160008854,-0.6883177165460025,1.2310515534885467,0.9505215070112053,5
BAYRY,0.010830297068508576,0.29270545693680505,0.052631563851613716,0.8421052862732696,0.9424551466673625,0.3001279539262459,0.9933605378333009,0.9112031125946767,1.08730456463523,0.8012503036690081,252,0.08175410919480917,1.6212127992794039,-0.21599590868617377,0.6513621227721094,2.0462479039275685,0.8369162052975433,5
PSX,0.2068768258081124,0.18003028331399662,0.3614325604738875,0.7544152324000375,0.4392233278972808,0.06524997676604176,1.1970199029433366,0.6082849766830414,0.3030767320020736,1.8750531356499953,252,1.6736092467494257,0.8677561886039925,0.8405409736093,0.05707788780637997,0.45933405166768043,0.7796636696873558,5
