regime,n_days,avg_pairwise_corr,median_pairwise
calm,12192,0.16688382436560484,0.14254800152326805
crisis_vol,3249,0.27748934688480525,0.4691544188492467
crisis_ret,814,0.23624419082034687,0.45994979262374236
crisis_dd,1627,0.26958267195993924,0.4805733184409785
crisis_any,4050,0.2800068266486027,0.46158931799126096
sector_calm,12192,0.35683232589052005,
sector_crisis_any,4050,0.6329669452463,
