date,growth_tech,fertilizer,defensive,personal_ew
1998-03-17,48878.23447912225,1826.1506486673459,12126.078595025963,3480.0098866118724
1998-03-18,49128.98747356468,1827.024481459706,12195.577687832108,3478.1168145693514
1998-03-19,49471.24831494077,1840.067147878942,12238.414236692186,3491.9202458083923
1998-03-20,49010.013021224455,1859.1596390966188,12362.904402095011,3540.822994754375
1998-03-23,49092.81039260873,1892.301862348428,12349.760910334937,3598.0937224916333
1998-03-24,49162.2782113564,1877.7654849217058,12431.71374794788,3638.0077899062208
1998-03-25,49470.45938107845,1883.6730606483197,12406.094319018603,3624.172193691935
1998-03-26,49436.62979211248,1894.2393866409152,12423.483539901314,3631.5175179131897
1998-03-27,49396.78583515796,1895.3477781871982,12331.293807231425,3632.8855526681887
1998-03-30,49245.78014586522,1897.7958289398248,12278.252294309203,3616.7535554147853
1998-03-31,49698.05145373336,1917.4510934958125,12321.620776035517,3643.8495491666104
1998-04-01,50608.92462034895,1935.0267819315661,12396.95608028834,3658.813215403954
1998-04-02,51488.02620739278,1937.1144331915484,12504.664599610784,3674.082102328916
1998-04-03,51376.36100787629,1953.2293767152541,12477.523087768106,3647.3911444054174
1998-04-06,51097.44170002067,1947.2574214967804,12483.956183368813,3657.7766354209757
1998-04-07,50195.299182138,1929.6524480797175,12377.772080492088,3594.3387462301002
1998-04-08,50350.69156387473,1926.7634137731004,12266.972327484491,3548.5494381599756
1998-04-09,50470.17661929259,1937.7288267274378,12353.464688409407,3589.7640527746717
1998-04-13,50287.82426851842,1953.1939582517894,12326.032360899047,3574.9370751470465
1998-04-14,50889.5905607878,1956.2434171489579,12425.150858488496,3578.8704602118883
1998-04-15,51605.50723719975,1945.3583756005787,12444.707323855713,3544.319463566302
1998-04-16,50939.469548051566,1956.6378572879128,12316.120950512544,3528.564926841642
1998-04-17,51266.49197552934,1989.269396247894,12477.699403573088,3587.255560209777
1998-04-20,52134.43826128821,2036.441534774605,12492.267426929197,3620.788470820292
1998-04-21,52661.254401707854,2076.127385635304,12522.61145662988,3641.3712469059988
1998-04-22,53500.31391516938,2064.5651229027903,12526.624138195897,3634.5861239714245
1998-04-23,52289.41907417906,2056.498213861173,12414.83324686689,3623.948030815456
1998-04-24,52530.85679700732,2047.1084269224307,12334.236784102759,3626.2081938655597
1998-04-27,51212.17431944937,2010.1935868842063,12086.599349610262,3561.255711144852
1998-04-28,51454.47194790478,1992.5032244939932,12104.462811633717,3551.3156234493417
1998-04-29,51794.59765514092,1977.512428742828,12183.65305494609,3535.407170746862
1998-04-30,52529.51964266833,2007.0470072593669,12421.594114746953,3630.2848394098523
1998-05-01,52695.48086240568,2004.3567661206698,12462.036890530748,3636.301161208261
