,normal,high_vol_stress,low_vol
normal,0.969938450450923,0.006974024601196779,0.023087524947880095
high_vol_stress,0.022325880514976835,0.9742963840311035,0.0033777354539196334
low_vol,0.018781640797940147,0.0011314915903958445,0.980086867611664
