ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision
ADBE,,False,False,False,,0.6276263240145858,0.38901146208900605,0.6133877409272444,35.9080459770115,22.96027409917117,10.382190465244651,8.945647821096852,3.442220011472073,1.0,1.0,0.6933061295363778,22.96027409917117,1.0,True,True,True,True,4.248037034306131,0.8976155210929888,0.0,0.0,False,False,False,False,0.35904620843719554,0.38,1.613,,0.0,2.498,0.0,0.12,prefer_add,INCLUDE_QUALITY
CTAS,,False,False,False,,0.3891073869911926,0.25490794871781797,0.5264623521878983,24.5718492731806,22.49741209467872,22.707879851002634,13.333568776640995,6.508892162005914,1.0,1.0,0.7367688239060508,22.49741209467872,1.0,True,True,True,True,4.185127137787715,0.0,0.0,0.0,False,False,False,False,0.0,0.345,1.526,,0.0,2.3018,0.0,0.12,prefer_add,INCLUDE_QUALITY
RMD,,False,False,False,,0.23407067656965722,0.20716420270808225,0.12987993828011504,,20.58773463285106,14.519984953430534,5.000948571825035,3.6958856689947144,0.9362827062786289,0.828656810832329,0.9350600308599425,20.58773463285106,0.5,True,True,True,True,3.8079010546899372,0.5911122256718123,0.0,0.0,False,False,False,False,0.23644489026872495,0.115,1.13,,0.0,2.2007,0.0,0.12,prefer_add,INCLUDE_QUALITY
CPRT,,False,False,False,,0.17701781026875874,0.17515895337743506,0.010612400082787571,,18.768048472555027,14.272788570183526,3.493582907249028,3.176858158067861,0.7080712410750349,0.7006358135097402,0.9946937999586062,18.768048472555027,0.5,True,True,True,True,3.4370234572524776,0.6094230688752944,0.11396315233376542,0.0,False,False,False,False,0.2779581732502474,0.011,1.011,,0.0,2.0154,0.0,0.12,prefer_add,INCLUDE_QUALITY
CHTR,,False,False,False,,0.2904672015101463,0.04332142668613961,5.7049315714959885,2.483629191321499,15.735056622094424,5.299403059760852,1.000616619757742,0.10900058436770323,1.0,0.17328570674455843,0.0,15.735056622094424,0.16557527942143327,True,False,False,False,2.7288017332796746,1.0,1.0,1.0,True,True,True,True,1.0,0.851,6.705,levered-assets,-0.1,1.8508,0.0,0.12,prefer_add,INCLUDE_VALUE
WST,,False,False,False,,0.18891712928901078,0.17106259273839444,0.1043742893451943,155.13333333333333,17.2853402452341,28.567033981215538,8.443718275191982,6.193800016308278,0.7556685171560431,0.6842503709535778,0.9478128553274029,17.2853402452341,1.0,True,True,True,True,3.2669486315171112,0.0,0.0,0.0,False,False,False,False,0.0,0.095,1.104,,0.0,1.7968,0.0,0.12,prefer_add,INCLUDE_QUALITY
V,,False,False,False,,0.6422195690488374,0.3826817535063351,0.6782079708908977,35.73711340206186,16.00720145621288,20.50502228602232,16.620160837563617,6.181034125634983,1.0,1.0,0.6608960145545512,16.00720145621288,1.0,True,True,True,True,3.2002146206151147,0.1477761269613096,0.0,0.0,False,False,False,False,0.059110450784523844,0.404,1.678,,0.0,1.7867,0.0,0.12,prefer_add,INCLUDE_QUALITY
ODFL,,False,False,False,,0.22894651071135858,0.22688400479489915,0.009090574359016319,2261.273187183811,15.42788810126103,23.605744237123478,9.224573313189415,7.174461944259052,0.9157860428454343,0.9075360191795966,0.9954547128204918,15.42788810126103,1.0,True,True,True,True,3.1104980407197376,0.0,0.0,0.0,False,False,False,False,0.0,0.009,1.009,,0.0,1.7108,0.0,0.12,prefer_add,INCLUDE_QUALITY
FDS,,False,False,False,,0.2784887983506291,0.15708595110870813,0.7728434426189176,14.057549085985105,13.054627389263107,10.473707872251259,4.295781548708585,2.0826049931870108,1.0,0.6283438044348325,0.6135782786905413,13.054627389263107,0.9371699390656737,True,True,True,True,2.632450985430064,0.8908364539073141,0.0,0.0,False,False,False,False,0.3563345815629257,0.436,1.773,,0.0,1.6082,0.0,0.12,prefer_add,INCLUDE_QUALITY
IDXX,,False,False,False,,0.703830659024499,0.4115013259171146,0.7103970624052521,36.18244406196214,13.869248743975772,29.043318137905235,28.483698276940952,13.092189518951768,1.0,1.0,0.644801468797374,13.869248743975772,1.0,True,True,True,True,2.877107531915972,0.0,0.0,0.0,False,False,False,False,0.0,0.415,1.71,,0.0,1.5824,0.0,0.12,prefer_add,INCLUDE_QUALITY
