ticker,preferred,peer,cross,earnings,composite,rank
AMD,0.14025500910746813,0.9401408450704225,0.6773049645390071,0.954225352112676,0.8394,1
CAT,0.3770491803278688,0.9401408450704225,0.6773049645390071,0.8556338028169014,0.8314,2
D,0.1493624772313297,0.9401408450704225,0.6773049645390071,0.823943661971831,0.8289,3
MSFT,0.3551912568306011,0.9401408450704225,0.6773049645390071,0.8169014084507042,0.8283,4
BEN,0.17941712204007285,0.9401408450704225,0.6773049645390071,0.7887323943661971,0.8261,5
CF,0.2331511839708561,0.9401408450704225,0.6773049645390071,0.7711267605633803,0.8246,6
BKSY,0.030965391621129327,0.9401408450704225,0.6773049645390071,0.6197183098591549,0.8125,7
VIG,0.3151183970856102,0.9401408450704225,0.6773049645390071,0.29225352112676056,0.7861,8
KO,0.21311475409836064,0.9401408450704225,0.6773049645390071,0.29225352112676056,0.7861,8
XLE,0.5418943533697632,0.9401408450704225,0.6773049645390071,0.29225352112676056,0.7861,8
STM,0.06375227686703097,0.9401408450704225,0.6773049645390071,0.29225352112676056,0.7861,8
TGT,0.37158469945355194,0.9401408450704225,0.6773049645390071,0.29225352112676056,0.7861,8
GSAT,0.030965391621129327,0.8732394366197183,0.6773049645390071,0.6408450704225352,0.7786,13
CFG,0.17941712204007285,0.8591549295774648,0.6773049645390071,0.7183098591549296,0.7773,14
ANDE,0.24772313296903462,0.8450704225352113,0.6773049645390071,0.8098591549295775,0.7772,15
HPQ,0.6593806921675774,0.8380281690140845,0.6773049645390071,0.8028169014084507,0.7729,16
IVZ,0.17941712204007285,0.8028169014084507,0.6773049645390071,0.9014084507042254,0.7621,17
CSCO,0.28415300546448086,0.823943661971831,0.6773049645390071,0.7394366197183099,0.7603,18
IRDM,0.030965391621129327,0.8098591549295775,0.6773049645390071,0.6126760563380281,0.7426,19
BAC,0.4225865209471767,0.7816901408450704,0.6773049645390071,0.7816901408450704,0.7412,20
UAN,0.4681238615664845,0.852112676056338,0.6773049645390071,0.29225352112676056,0.7393,21
CW,0.28233151183970856,0.7535211267605634,0.6773049645390071,0.9014084507042254,0.7359,22
UNH,0.2604735883424408,0.8309859154929577,0.6773049645390071,0.29225352112676056,0.7281,23
RTX,0.1092896174863388,0.8169014084507042,0.6773049645390071,0.29225352112676056,0.7206,24
INTC,0.030965391621129327,0.7323943661971831,0.6773049645390071,0.8380281690140845,0.7195,25
NUE,0.6083788706739527,0.7922535211267606,0.6773049645390071,0.29225352112676056,0.7075,26
SBUX,0.2877959927140255,0.7922535211267606,0.6773049645390071,0.29225352112676056,0.7075,26
KHC,0.3242258652094718,0.7746478873239436,0.6773049645390071,0.29225352112676056,0.6981,28
HEI,0.17486338797814208,0.6690140845070423,0.6773049645390071,0.9788732394366197,0.6971,29
MPC,0.030965391621129327,0.7605633802816901,0.6773049645390071,0.29225352112676056,0.6906,30
VLO,0.030965391621129327,0.7464788732394366,0.6773049645390071,0.29225352112676056,0.6831,31
ALL,0.2987249544626594,0.647887323943662,0.6773049645390071,0.9190140845070423,0.6811,32
VZ,0.35154826958105645,0.7394366197183099,0.6773049645390071,0.29225352112676056,0.6794,33
AMAT,0.030965391621129327,0.6197183098591549,0.6773049645390071,0.9788732394366197,0.6709,34
SPLV,0.30418943533697634,0.7147887323943662,0.6773049645390071,0.29225352112676056,0.6663,35
XLU,0.3132969034608379,0.7147887323943662,0.6773049645390071,0.29225352112676056,0.6663,35
VAL,0.0947176684881603,0.7147887323943662,0.6773049645390071,0.29225352112676056,0.6663,35
PSX,0.06557377049180328,0.6971830985915493,0.6773049645390071,0.29225352112676056,0.6569,38
COST,0.2677595628415301,0.6373239436619719,0.6773049645390071,0.6830985915492958,0.6565,39
NVDA,0.31876138433515483,0.6866197183098591,0.6773049645390071,0.29225352112676056,0.6513,40
MO,0.42805100182149364,0.676056338028169,0.6773049645390071,0.29225352112676056,0.6457,41
GD,0.030965391621129327,0.5704225352112676,0.6773049645390071,0.9014084507042254,0.6385,42
BMY,0.1366120218579235,0.9401408450704225,0.1773049645390071,0.8309859154929577,0.6356,43
RF,0.7504553734061931,0.6549295774647887,0.6773049645390071,0.29225352112676056,0.6344,44
STLD,0.030965391621129327,0.6373239436619719,0.6773049645390071,0.29225352112676056,0.6251,45
AFL,0.6994535519125683,0.5774647887323944,0.6773049645390071,0.6549295774647887,0.6224,46
FITB,0.17122040072859745,0.5563380281690141,0.6773049645390071,0.704225352112676,0.6151,47
C,0.15664845173041894,0.5070422535211268,0.6773049645390071,0.9190140845070423,0.6062,48
MU,0.5537340619307832,0.5950704225352113,0.6773049645390071,0.29225352112676056,0.6026,49
ABBV,0.34972677595628415,0.528169014084507,0.6773049645390071,0.7253521126760564,0.6018,50
SEDG,0.007285974499089253,0.9401408450704225,0.1773049645390071,0.29225352112676056,0.5923,51
PYPL,0.39162112932604737,0.9401408450704225,0.1773049645390071,0.29225352112676056,0.5923,51
SHEL,0.41712204007285975,0.9401408450704225,0.1773049645390071,0.29225352112676056,0.5923,51
VUG,0.030965391621129327,0.9401408450704225,0.1773049645390071,0.29225352112676056,0.5923,51
IYR,0.22404371584699453,0.9401408450704225,0.1773049645390071,0.29225352112676056,0.5923,51
SMG,0.20036429872495445,0.5633802816901409,0.6773049645390071,0.29225352112676056,0.5858,56
PM,0.20765027322404372,0.5422535211267606,0.6773049645390071,0.29225352112676056,0.5745,57
ASIX,0.30783242258652094,0.4859154929577465,0.6773049645390071,0.6056338028169014,0.5698,58
SCHD,0.40437158469945356,0.528169014084507,0.6773049645390071,0.29225352112676056,0.567,59
DE,0.18579234972677597,0.43661971830985913,0.6773049645390071,0.8767605633802817,0.5653,60
DVN,0.5828779599271403,0.47183098591549294,0.6773049645390071,0.5880281690140845,0.5608,61
