from_regime,to_regime,post_mean,post_std,mle
low_vol,low_vol,0.6390569184021914,0.16835966890432613,0.9729467524561336
low_vol,normal,0.18088029685864082,0.1730108484059162,0.0270532475438664
low_vol,high_vol_stress,0.18006278473916787,0.13415202899838388,4.376433440354454e-25
normal,low_vol,0.13418910180704396,0.13214850243778029,0.0236758434422383
normal,normal,0.6694712998497109,0.1609064204700594,0.9649935399793068
normal,high_vol_stress,0.19633959834324521,0.14970134148061381,0.0113306165784549
high_vol_stress,low_vol,0.2491760979142918,0.18200724120950934,1.6584103689834765e-49
high_vol_stress,normal,0.1533554265053185,0.1375855596750966,0.0248307079881248
high_vol_stress,high_vol_stress,0.5974684755803898,0.21069034979619924,0.9751692920118752
