date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
1962-01-30,20,0.4091845862513665,0.40917045587202366,0.22482175445304262,0.5935615484290331,0.16827072213107105
1962-01-31,20,0.3851724959437757,0.3901873476437704,0.17055146156640924,0.5947786786211473,0.1920189810024827
1962-02-01,20,0.4065754595205829,0.4440884579015453,0.1773470045726609,0.5982909160875425,0.18700090695673652
1962-02-02,20,0.40586679695417693,0.3861068324819965,0.201121104518433,0.6303724538621014,0.1789531384235803
1962-02-05,20,0.42127180385124957,0.38667511827524637,0.25507196280140415,0.6220683304770983,0.15379685326892062
1962-02-06,20,0.4278576261503127,0.38666729067738115,0.26130709052432555,0.6355984972492315,0.15861434798012672
1962-02-07,20,0.42752469139241045,0.39047785693332865,0.2509499953397712,0.6411462219041313,0.16530372631650658
1962-02-08,20,0.4638233586211186,0.41828748228014945,0.2977629528181277,0.6754196407650785,0.1583697226867017
1962-02-09,20,0.45493299326601727,0.4264526777311932,0.3011563113457171,0.6371899907211415,0.14280744094421055
1962-02-12,20,0.44297435980465955,0.44389601748590873,0.24189526608654316,0.6431317958415266,0.1797117163068564
1962-02-13,20,0.4110924023456975,0.4080509467991481,0.22580713629804441,0.5994191239399,0.16593731173385906
1962-02-14,20,0.3642825555259792,0.3527514002940858,0.1915072817083083,0.5485889845755437,0.16444915958908854
1962-02-15,20,0.36879017599485203,0.35667832808006117,0.19077416236900427,0.5589180375354906,0.16725743406240193
1962-02-16,20,0.3745739152274852,0.37572488593149966,0.22452837461354752,0.5234684851374082,0.15165853478829547
1962-02-19,20,0.14832403340951472,0.20517409690947777,-0.10926206991651319,0.3490600732355795,0.2298495997468172
1962-02-20,20,0.15267693919690598,0.21780715525710556,-0.10551423366295029,0.3457378959965627,0.23300666133577744
1962-02-21,20,0.11459433102144995,0.17615669518656063,-0.16879303175444493,0.3364193296322342,0.23925885815109008
1962-02-23,20,0.1010988441048626,0.13447990676730592,-0.17526265854866024,0.34407928409594213,0.22086618136907407
1962-02-26,20,0.05334850656276267,0.08711915653177257,-0.22703980438952978,0.2999661675460452,0.22950098756830917
1962-02-27,20,0.03334746973168625,0.03987953060001519,-0.07286245223674183,0.1330253308317854,0.09665892009656911
1962-02-28,20,0.040139848869974785,0.06502604515259033,-0.08514980363426693,0.14054330509160096,0.10750056391544838
1962-03-01,20,0.04668194291496051,0.04154962076928516,-0.0646785173084358,0.16317472528403215,0.1018174723866268
1962-03-02,20,-0.07259852974150353,-0.09772351281790964,-0.1599746396115564,0.039902563204955444,0.10985931750375784
1962-03-05,20,-0.04835087312026249,-0.08015694321865724,-0.1875178383121266,0.12262216216999638,0.15704426857676382
1962-03-06,20,-0.044223498851307164,-0.07027990046598188,-0.19139517875725565,0.12900458266931605,0.155162451696243
1962-03-07,20,-0.026414747857767196,-0.007622984995237182,-0.20440165898352214,0.13278040040545777,0.16060012769833512
1962-03-08,20,-0.032645287876341446,-0.015727871676617357,-0.21242942221458244,0.13022143026217547,0.16257352302619676
1962-03-09,20,-0.053698380485133305,-0.06999406486924774,-0.1573592235605983,0.06625814697444615,0.1015002274508869
1962-03-12,20,-0.057772090143622924,-0.07054894013797164,-0.18230617616671538,0.07953884587381824,0.10982937794153592
1962-03-13,20,-0.06215741204228336,-0.08752728911593,-0.1529773464931099,0.054032399482189825,0.1055984775526815
1962-03-14,20,-0.05779525043724663,-0.08556974560000673,-0.14507715347440941,0.05726114776267627,0.09662952711690273
1962-03-15,20,-0.05783564353861648,-0.05367010914427317,-0.10065220413035468,-0.01918461734122159,0.0376136075795931
1962-03-16,20,-0.057188835212722534,-0.08195428047834374,-0.12508123155884962,0.035469006399025775,0.07144538988033206
1962-03-19,20,-0.04169183032076166,-0.08186049682059285,-0.14607090736343525,0.1028559132217431,0.10876271745176522
1962-03-20,20,-0.03977114634435263,-0.0755245880208591,-0.15292092572322408,0.10913207471102532,0.11313530085730963
