,Materials,Consumer Staples,Health Care,Energy,Financials,Utilities,Industrials
Materials,,0.29002481774230665,0.3966398967174535,0.11551201845423686,0.47928760271140985,0.12373722334934181,0.4640118868258717
Consumer Staples,0.30742625014224306,,0.25203436679112057,0.7360207359682174,0.4136465307210484,0.7117116258622685,0.16524361923051903
Health Care,0.27395119294338366,0.18650212281546333,,0.13841274319696803,0.1982325509801382,0.32859255511247354,0.19806708312909035
Energy,0.011036911253180433,0.2470416472240201,0.39903037068707686,,0.2477428503003828,0.19464423997199248,0.11456327047269935
Financials,0.5387433476560367,0.30915365892613755,0.23672791596340043,0.14651373780498161,,0.027595396498826086,0.45125200947778094
Utilities,0.09754938456443323,0.02700772978722091,0.6505574298359791,0.3666547598252765,0.24806846693184215,,0.16152934891901743
Industrials,0.3017189089565682,0.5287802667852745,0.03518059419815356,0.1627804960273195,0.8447826122863166,0.2659074765831108,
