rebalance_date,ticker,bucket
2008-09-30,AFL,5
2008-09-30,CPB,5
2008-09-30,DVN,5
2008-09-30,DVY,5
2008-09-30,GIS,5
2008-09-30,HPQ,5
2008-09-30,IBM,5
2008-09-30,ICL,5
2008-09-30,JNJ,5
2008-09-30,JPM,5
2008-09-30,LMT,5
2008-09-30,MOS,5
2008-09-30,MSFT,5
2008-09-30,NKE,5
2008-09-30,O,5
2008-09-30,REGN,5
2008-09-30,SCHW,5
2008-09-30,SO,5
2008-09-30,VUG,5
2008-09-30,VZ,5
2008-09-30,WM,5
2008-09-30,AMD,1
2008-09-30,ANDE,1
2008-09-30,BA,1
2008-09-30,BX,1
2008-09-30,CAG,1
2008-09-30,DE,1
2008-09-30,FITB,1
2008-09-30,GSAT,1
2008-09-30,HON,1
2008-09-30,LXU,1
2008-09-30,MO,1
2008-09-30,MRK,1
2008-09-30,MU,1
2008-09-30,NEE,1
2008-09-30,NVDA,1
2008-09-30,PLD,1
2008-09-30,RF,1
2008-09-30,SHEL,1
2008-09-30,SMG,1
2008-09-30,STM,1
2008-09-30,UNH,1
2008-09-30,VLO,1
2008-10-31,CB,5
2008-10-31,CPB,5
2008-10-31,DVN,5
2008-10-31,GIS,5
2008-10-31,HEI,5
2008-10-31,IBM,5
2008-10-31,ICL,5
2008-10-31,JNJ,5
2008-10-31,JPM,5
2008-10-31,MCD,5
2008-10-31,MCHP,5
2008-10-31,NUE,5
2008-10-31,O,5
2008-10-31,ORCL,5
2008-10-31,REGN,5
2008-10-31,SO,5
2008-10-31,T,5
2008-10-31,TRV,5
2008-10-31,VIG,5
2008-10-31,VUG,5
2008-10-31,WM,5
2008-10-31,ALL,1
2008-10-31,AMD,1
2008-10-31,ANDE,1
2008-10-31,BX,1
2008-10-31,C,1
2008-10-31,CAT,1
2008-10-31,FITB,1
2008-10-31,GSAT,1
2008-10-31,HON,1
2008-10-31,KO,1
2008-10-31,LLY,1
2008-10-31,LRCX,1
2008-10-31,LXU,1
2008-10-31,NOC,1
2008-10-31,NVDA,1
2008-10-31,PEP,1
2008-10-31,PLD,1
2008-10-31,STLD,1
2008-10-31,STM,1
2008-10-31,UNH,1
2008-10-31,VLO,1
2008-10-31,XLU,1
2008-11-28,AFL,5
2008-11-28,CB,5
2008-11-28,CVX,5
2008-11-28,FMC,5
2008-11-28,GIS,5
2008-11-28,HPQ,5
2008-11-28,IBM,5
2008-11-28,JNJ,5
2008-11-28,MCD,5
2008-11-28,MMM,5
2008-11-28,O,5
2008-11-28,ORCL,5
2008-11-28,PG,5
2008-11-28,SMG,5
2008-11-28,SO,5
2008-11-28,TDG,5
2008-11-28,TRV,5
2008-11-28,VIG,5
2008-11-28,VUG,5
2008-11-28,VZ,5
2008-11-28,XBI,5
2008-11-28,AEP,1
2008-11-28,AMD,1
2008-11-28,ANDE,1
2008-11-28,BA,1
2008-11-28,BAC,1
2008-11-28,BX,1
2008-11-28,C,1
2008-11-28,CAG,1
2008-11-28,DD,1
2008-11-28,DE,1
2008-11-28,FITB,1
2008-11-28,GSAT,1
2008-11-28,MO,1
2008-11-28,MRK,1
2008-11-28,MU,1
2008-11-28,NOC,1
2008-11-28,NVDA,1
2008-11-28,PLD,1
2008-11-28,STLD,1
2008-11-28,TTMI,1
2008-11-28,UNH,1
2008-11-28,VLO,1
2008-12-31,ALL,5
2008-12-31,BMY,5
2008-12-31,CB,5
2008-12-31,GIS,5
2008-12-31,HEI,5
2008-12-31,IBM,5
2008-12-31,LMT,5
2008-12-31,MCD,5
2008-12-31,NUE,5
2008-12-31,O,5
2008-12-31,ORCL,5
2008-12-31,RTX,5
2008-12-31,SMCI,5
2008-12-31,SO,5
2008-12-31,TDW,5
2008-12-31,TRV,5
2008-12-31,VIG,5
2008-12-31,VUG,5
2008-12-31,VZ,5
2008-12-31,XBI,5
2008-12-31,XOM,5
2008-12-31,AMD,1
2008-12-31,BA,1
2008-12-31,BAC,1
2008-12-31,C,1
2008-12-31,DD,1
2008-12-31,DE,1
2008-12-31,DVY,1
2008-12-31,FITB,1
2008-12-31,GSAT,1
2008-12-31,HMC,1
2008-12-31,IYR,1
2008-12-31,KO,1
2008-12-31,LRCX,1
2008-12-31,LXU,1
2008-12-31,MRK,1
2008-12-31,NVDA,1
2008-12-31,PEP,1
2008-12-31,RF,1
2008-12-31,STM,1
2008-12-31,TDG,1
2008-12-31,VLO,1
2008-12-31,XLE,1
2008-12-31,XLF,1
2008-12-31,XLU,1
2008-12-31,XLV,1
2009-01-30,BMY,5
2009-01-30,CB,5
2009-01-30,CPB,5
2009-01-30,D,5
2009-01-30,FMC,5
2009-01-30,GIS,5
2009-01-30,HEI,5
2009-01-30,IBM,5
2009-01-30,JNJ,5
2009-01-30,MCD,5
2009-01-30,MU,5
2009-01-30,O,5
2009-01-30,ORCL,5
2009-01-30,QQQ,5
2009-01-30,SCHW,5
2009-01-30,SMG,5
2009-01-30,SO,5
2009-01-30,TRV,5
2009-01-30,VIG,5
2009-01-30,VZ,5
2009-01-30,XOM,5
2009-01-30,AEP,1
2009-01-30,AMD,1
2009-01-30,ANDE,1
2009-01-30,BA,1
2009-01-30,BAC,1
2009-01-30,C,1
2009-01-30,CAT,1
2009-01-30,DD,1
2009-01-30,DE,1
2009-01-30,FITB,1
2009-01-30,GSAT,1
2009-01-30,KO,1
2009-01-30,LXU,1
2009-01-30,MRK,1
2009-01-30,PEP,1
2009-01-30,PFE,1
2009-01-30,PLD,1
2009-01-30,RF,1
2009-01-30,SMCI,1
2009-01-30,STM,1
2009-01-30,TGT,1
2009-01-30,VLO,1
2009-02-27,BMY,5
2009-02-27,CB,5
2009-02-27,CVX,5
2009-02-27,CW,5
2009-02-27,GIS,5
2009-02-27,IBM,5
2009-02-27,MCD,5
2009-02-27,MCHP,5
2009-02-27,MKC,5
2009-02-27,O,5
2009-02-27,ORCL,5
2009-02-27,QQQ,5
2009-02-27,SCHW,5
2009-02-27,SMG,5
2009-02-27,SO,5
2009-02-27,TDG,5
2009-02-27,TRV,5
2009-02-27,VIG,5
2009-02-27,VZ,5
2009-02-27,XBI,5
2009-02-27,XOM,5
2009-02-27,AMD,1
2009-02-27,ANDE,1
2009-02-27,BA,1
2009-02-27,BAC,1
2009-02-27,C,1
2009-02-27,CAG,1
2009-02-27,CAT,1
2009-02-27,DD,1
2009-02-27,DE,1
2009-02-27,DVN,1
2009-02-27,FITB,1
2009-02-27,GSAT,1
2009-02-27,HBAN,1
2009-02-27,MRK,1
2009-02-27,PG,1
2009-02-27,PLD,1
2009-02-27,SMCI,1
2009-02-27,STM,1
2009-02-27,TGT,1
