ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,composite,rank,buy_score,action,regime,reasons
NUE,Materials,SATELLITE,0.7357,0.18,0.14,6.0,1.6,1.0,,0.3040098051398354,0.5605573283443099,-0.0740145272353571,0.5790100266556815,0.3169014084507042,True,Materials,0.08,hold_or_add,0.644,32,0.45,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,high_factor_composite,aggregate_strong,sp500_member,stress_regime_haircut"
HMC,Consumer Discretionary,INCLUDE_VALUE,0.7511,0.08,0.06,6.5,0.6,0.24,cheap-assets,0.2316234486218383,-0.1126085743519812,0.2466290897151581,0.708959987937711,0.0633802816901408,True,Consumer Discretionary,0.12,prefer_add,0.3002,526,0.45,ACCUMULATE,high_vol_stress,"value_trifecta,positive_momentum,positive_residual_mom,high_factor_composite,cheap_assets_flag,low_liquidity,sp500_member,stress_regime_haircut"
TGT,Consumer Discretionary,SATELLITE,0.5386,0.25,0.12,10.0,3.5,1.273,,0.3750142054276827,0.2638987013902658,0.1024090203373951,0.0094960201304555,0.4859154929577465,True,Consumer Discretionary,0.05,hold,0.7108,20,0.45,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,positive_residual_mom,aggregate_strong,sp500_member,stress_regime_haircut"
ABBV,Health Care,SATELLITE,0.5257,0.8,0.2,,-67.09,3.308,,0.3478744454729556,0.2618267877682969,0.0346061944597827,0.5784272504056001,0.795774647887324,True,Health Care,0.05,hold,0.6292,39,0.45,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,high_factor_composite,aggregate_strong,sp500_member,stress_regime_haircut"
CW,Industrials,WATCH,0.4793,0.14,0.1,14.0,3.0,1.8,,0.6645014235388168,0.6291939652031227,-0.186193701543347,-0.2425373020989691,0.1901408450704225,,,0.05,reduce_or_avoid,0.7734,11,0.42,ACCUMULATE,high_vol_stress,"strong_momentum,aggregate_top,sp500_member,stress_regime_haircut"
HEI,Industrials,WATCH,0.3567,0.16,0.12,28.0,7.0,4.0,,0.7596637953636598,0.1872839331192075,0.0740946097691653,-0.0944407808049221,0.1408450704225352,,,0.03,reduce_or_avoid,0.7539,15,0.42,ACCUMULATE,high_vol_stress,"strong_momentum,positive_residual_mom,aggregate_top,low_liquidity,sp500_member,stress_regime_haircut"
CF,Materials,WATCH,0.421,0.25,0.15,,3.6,1.424,,0.2039425846728589,0.3381896165537286,0.1407799187777665,0.2034888993858241,0.2605633802816901,True,Materials,0.03,reduce_or_avoid,0.8262,6,0.42,ACCUMULATE,high_vol_stress,"positive_momentum,positive_residual_mom,aggregate_top,sp500_member,stress_regime_haircut"
TRV,Financials,SATELLITE,0.5311,0.14,0.1,,2.38,0.605,,0.8123664669063213,0.2973604939669518,0.1229612904220165,0.2286322614463253,0.6056338028169014,True,Financials,0.05,hold,0.555,62,0.4,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
CAT,Industrials,SATELLITE,0.5438,0.4,0.18,13.0,8.0,2.0,,0.4832522399963584,1.3954452882535735,-0.290247664118161,-0.0815683781037976,0.8873239436619719,True,Industrials,0.05,hold,0.8466,2,0.4,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,aggregate_top,sp500_member,stress_regime_haircut"
XLE,Energy,SATELLITE,0.6779,0.14,0.1,7.0,1.8,0.9,,0.0504355133899931,0.2806336914425267,0.0827703788446945,0.1564473790628748,0.823943661971831,,,0.08,hold,0.7108,20,0.4,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,positive_residual_mom,aggregate_strong,sp500_member,stress_regime_haircut"
