index_name,sector,date,level,n_members,ret_63d
sp500,Communication Services,2026-07-30,221.73895540867377,3,-0.057916159475046025
sp500,Consumer Discretionary,2026-07-30,128.73315854321757,6,0.08570923751233295
sp500,Consumer Staples,2026-07-30,109.4774447700101,13,0.09353601017908675
sp500,Energy,2026-07-30,164.14239041574064,8,0.06405233039962943
sp500,Financials,2026-07-30,236.4225965863901,13,0.18545520170237473
sp500,Health Care,2026-07-30,138.50361363454837,9,0.16327307542033043
sp500,Industrials,2026-07-30,167.2122486611009,10,0.07226476345508681
sp500,Information Technology,2026-07-30,468.7163274988181,12,0.20399733322916713
sp500,Materials,2026-07-30,119.77605900029124,5,0.02465115200013135
sp500,Real Estate,2026-07-30,142.69573257347062,3,0.038043075107908386
sp500,Utilities,2026-07-30,155.6964136390881,5,-0.0020090168429568456
