date,rv_5d,rv_10d,rv_21d,rv_42d,rv_63d,VIX_proxy,VIX3M_proxy,VIX9D_proxy,term_slope_21_63,term_slope_10_21,contango,backwardation,curve_convexity,source
2025-12-02,9.935509464374674,9.971838526318876,8.976986034802772,8.58272153900708,8.9855135312024,8.976986034802772,8.9855135312024,9.971838526318876,0.00852749639962802,-0.9948524915161041,True,False,0.5016899939578661,synthetic_rv_proxy
2025-12-03,5.574710231073881,9.903250341797099,8.019787112196495,8.569379473003425,8.987582137161317,8.019787112196495,8.987582137161317,9.903250341797099,0.967795024964822,-1.8834632296006042,True,False,1.425629127282713,synthetic_rv_proxy
2025-12-04,6.391200147168428,10.049958064098362,8.535484266540436,8.807544802548465,9.053551209112989,8.535484266540436,9.053551209112989,10.049958064098362,0.5180669425725526,-1.514473797557926,True,False,1.0162703700652393,synthetic_rv_proxy
2025-12-05,6.417455027754385,10.028453132986346,8.53539318970953,8.87524146948419,9.039975850432329,8.53539318970953,9.039975850432329,10.028453132986346,0.5045826607227983,-1.4930599432768155,True,False,0.9988213019998078,synthetic_rv_proxy
2025-12-08,6.848789400152149,9.043256920420209,8.459669526183621,8.876187666895538,9.068635647142036,8.459669526183621,9.068635647142036,9.043256920420209,0.6089661209584154,-0.5835873942365879,True,False,0.5962767575975008,synthetic_rv_proxy
2025-12-09,7.640049963452536,8.364580629830991,8.401219713844183,8.881263838980372,9.01666507831942,8.401219713844183,9.01666507831942,8.364580629830991,0.6154453644752369,0.03663908401319205,True,False,0.28940314023102154,synthetic_rv_proxy
2025-12-10,7.522334775082516,6.668399151981371,7.855884037579747,8.875802983625809,8.685086848915407,7.855884037579747,8.685086848915407,6.668399151981371,0.8292028113356604,1.1874848855983764,True,False,-0.17914103713135798,synthetic_rv_proxy
2025-12-11,6.054532123562611,6.338840907020031,8.007835734064999,8.930090508101152,8.702323539700934,8.007835734064999,8.702323539700934,6.338840907020031,0.6944878056359354,1.6689948270449682,True,False,-0.48725351070451595,synthetic_rv_proxy
2025-12-12,3.465744086424928,6.346390895954245,7.960901620148323,8.92178111030854,8.514095996416433,7.960901620148323,8.514095996416433,6.346390895954245,0.5531943762681104,1.6145107241940773,True,False,-0.5306581739629834,synthetic_rv_proxy
2025-12-15,3.586826625535288,6.557533026646451,7.936258137639658,8.645677979730152,8.491367279212941,7.936258137639658,8.491367279212941,6.557533026646451,0.5551091415732827,1.3787251109932077,True,False,-0.41180798470996294,synthetic_rv_proxy
2025-12-16,12.267084679662025,9.6404947781521,9.389702649425507,9.24756844210427,8.902837139998459,9.389702649425507,8.902837139998459,9.6404947781521,-0.486865509427048,-0.2507921287265926,False,True,-0.11803669035022857,synthetic_rv_proxy
2025-12-17,12.28997329565044,9.621924913295143,9.392310641914229,9.169428961256623,8.86734762162012,9.392310641914229,8.86734762162012,9.621924913295143,-0.5249630202941091,-0.22961427138091395,False,True,-0.1476743744565976,synthetic_rv_proxy
2025-12-18,11.108917783648254,9.128597651641776,9.472387812307502,9.236365758050702,8.880998855363224,9.472387812307502,8.880998855363224,9.128597651641776,-0.5913889569442787,0.3437901606657263,False,True,-0.4675895588050025,synthetic_rv_proxy
2025-12-19,16.319775923247235,11.333671442499485,10.41941620082758,9.696501111618632,9.110838255672824,10.41941620082758,9.110838255672824,11.333671442499485,-1.308577945154756,-0.9142552416719045,False,True,-0.1971613517414248,synthetic_rv_proxy
2025-12-22,17.849158272812492,12.200567186007431,10.997356587204118,9.99768070734897,9.339007369289032,10.997356587204118,9.339007369289032,12.200567186007431,-1.6583492179150863,-1.203210598803313,False,True,-0.2275693095558875,synthetic_rv_proxy
2025-12-23,12.47487515728198,12.25532196334645,10.664553748443325,9.976934882811872,9.240875310731997,10.664553748443325,9.240875310731997,12.25532196334645,-1.4236784377113274,-1.5907682149031253,False,True,0.08354488859589893,synthetic_rv_proxy
2025-12-24,12.868212636831695,12.328786169369888,10.155227017372876,9.972506395027354,9.245055665112712,10.155227017372876,9.245055665112712,12.328786169369888,-0.9101713522601642,-2.1735591519970114,False,True,0.6316938998684236,synthetic_rv_proxy
2025-12-25,12.827441068257809,12.428769056070015,9.650160774588954,9.798313493676444,8.986696814922789,9.650160774588954,8.986696814922789,12.428769056070015,-0.6634639596661653,-2.778608281481061,False,True,1.0575721609074478,synthetic_rv_proxy
2025-12-26,10.282942401817497,13.013777880556269,9.7469439633762,9.977593521268933,9.097296362176339,9.7469439633762,9.097296362176339,13.013777880556269,-0.6496476011998613,-3.266833917180069,False,True,1.308593157990103,synthetic_rv_proxy
2025-12-29,7.493021933835524,12.92484333196937,9.747028282584479,9.865584057045353,8.992803809977149,9.747028282584479,8.992803809977149,12.92484333196937,-0.7542244726073299,-3.1778150493848916,False,True,1.21179528838878,synthetic_rv_proxy
2025-12-30,11.067237485098596,11.145015441946656,10.53151228880984,10.28477423204445,9.188968808945235,10.53151228880984,9.188968808945235,11.145015441946656,-1.342543479864604,-0.6135031531368167,False,True,-0.3645201633638937,synthetic_rv_proxy
2025-12-31,10.40620023982108,11.039516157687466,10.472764930973852,9.67260716587181,9.19658906079195,10.472764930973852,9.19658906079195,11.039516157687466,-1.276175870181902,-0.5667512267136132,False,True,-0.35471232173414435,synthetic_rv_proxy
2026-01-01,7.3855159366310845,10.002300462187144,10.483804866545665,9.23155688079093,9.193951438197386,10.483804866545665,9.193951438197386,10.002300462187144,-1.2898534283482785,0.48150440435852104,False,True,-0.8856789163533989,synthetic_rv_proxy
2026-01-02,7.271722011576634,8.547270248344375,9.92684307970081,9.209822127099935,9.197147677854128,9.92684307970081,9.197147677854128,8.547270248344375,-0.7296954018466817,1.379572831356434,False,True,-1.0546341166015587,synthetic_rv_proxy
