universe,estimator,shrinkage,cond_number,avg_vol,median_vol,min_eig,frobenius_vs_sample
portfolio,sample,0.0,779.7260303812691,2.0771894218431006,1.8128601520046712,0.04718474434987047,0.0
portfolio,ledoit_wolf,0.0993266031527532,59.47177823669295,2.109781638369326,1.859152934075774,0.5614961719134968,3.596745595225983
portfolio,oas,0.01822160937642558,254.4030568337861,2.076924454150741,1.8155890317596497,0.14123013869705517,0.886199784600458
portfolio,ewma,0.0,990.1291784601248,2.1203543415252177,1.6673445162394018,0.04129976067997301,10.263427833308109
portfolio,winsorized,0.0,484.9584274495502,1.4592687190548248,1.3593345773984675,0.03652607466259794,19.38331779439454
