asset_a,asset_b,corr_calm,corr_crisis,delta
AFL,CRWD,-0.05032441089728697,0.9328636027037984,0.9831880136010854
MTSI,PM,-0.004472056423101653,0.9755891098509896,0.9800611662740912
CRWD,XOM,-0.04681698285494401,0.9328827442524079,0.979699727107352
ALL,MTSI,-0.010312088071101002,0.9687048593589423,0.9790169474300433
ALL,CRWD,-0.023830463278300264,0.9550492911839921,0.9788797544622924
CRWD,PM,-0.022663058683060823,0.9544870519307848,0.9771501106138456
MTSI,PG,-0.018119072531288995,0.9573623742906325,0.9754814468219215
CB,RKLB,-0.04915422165204568,0.9243284108651538,0.9734826325171995
CB,MTSI,0.004645857408633727,0.9780963146162379,0.9734504572076041
RKLB,SO,-0.042545040664504326,0.9304115783716298,0.9729566190361342
CRWD,CVX,-0.022532222250949082,0.9500525282419355,0.9725847504928846
MTSI,TRV,-0.004860796846944028,0.9670838326658856,0.9719446295128297
CRWD,MCD,-0.01456408162070461,0.9573796000771253,0.97194368169783
PLTR,WM,-0.02532436037278347,0.9437748584619271,0.9690992188347106
CRWD,PSX,-0.020697015266528174,0.9479583052811897,0.968655320547718
PM,RKLB,-0.04107834116531281,0.9274651413310809,0.9685434824963938
PLTR,UNH,-0.037578712985236996,0.9302305766802775,0.9678092896655145
JNJ,RKLB,-0.04924245817346638,0.9177836902734867,0.9670261484469531
DUK,RKLB,-0.04397948606644405,0.9219275280399872,0.9659070141064313
PLTR,SO,-0.08658467734191141,0.8789524310767824,0.9655371084186939
MRK,RKLB,-0.05014819960329059,0.914060970081583,0.9642091696848736
KMB,MTSI,-0.031077607316425383,0.9315244671632448,0.9626020744796702
MCD,MTSI,0.01250718969516914,0.9746583951261032,0.962151205430934
COST,FANG,0.005881711066577283,0.9672000799274239,0.9613183688608465
ABBV,CRWD,-0.015644099731863884,0.9454205472184296,0.9610646469502935
ABBV,RKLB,-0.0716209836335437,0.8858457450955359,0.9574667287290797
AEP,PLTR,-0.045073753050113255,0.9115434611191794,0.9566172141692927
HII,PM,0.028291321595323115,0.9849028891763744,0.9566115675810513
LMT,PLTR,-0.029911229787264803,0.9244776932744556,0.9543889230617204
