date,equity,cash,drawdown,n_holdings,kill_switch,ann_ret,sharpe
2024-08-14,100000.0,81147.54,0.0,151,,1.7324928744782415,1.800952159768954
2024-08-15,100386.51,81132.04,0.0039,151,,1.7324928744782415,1.800952159768954
2024-08-16,100470.52,81446.2,0.0008,151,,1.7324928744782415,1.800952159768954
2024-08-19,100615.14,81500.95,0.0014,151,,1.7324928744782415,1.800952159768954
2024-08-20,100512.29,81665.72,-0.001,151,,1.7324928744782415,1.800952159768954
2024-08-21,100665.81,81535.93,0.0005,151,,1.7324928744782415,1.800952159768954
2024-08-22,100590.17,81704.11,-0.0008,151,,1.7324928744782415,1.800952159768954
2024-08-23,100846.52,81581.27,0.0018,151,,1.7324928744782415,1.800952159768954
2024-08-26,100841.82,81838.24,-0.0,151,,1.7324928744782415,1.800952159768954
2024-08-27,100847.96,81830.35,0.0,151,,1.7324928744782415,1.800952159768954
2024-08-28,100756.62,81852.36,-0.0009,151,,1.7324928744782415,1.800952159768954
2024-08-29,100869.29,81739.81,0.0002,151,,1.7324928744782415,1.800952159768954
2024-08-30,101034.62,81823.13,0.0016,151,,1.7324928744782415,1.800952159768954
2024-09-03,100786.65,82033.71,-0.0025,151,,1.7324928744782415,1.800952159768954
2024-09-04,100722.68,81801.93,-0.0031,151,,1.7324928744782415,1.800952159768954
2024-09-05,100591.93,81758.03,-0.0044,151,,1.7324928744782415,1.800952159768954
2024-09-06,100370.45,81672.52,-0.0066,151,,1.7324928744782415,1.800952159768954
2024-09-09,100590.17,81406.23,-0.0044,151,,1.7324928744782415,1.800952159768954
2024-09-10,100564.22,81634.06,-0.0047,151,,1.7324928744782415,1.800952159768954
2024-09-11,100606.32,81597.22,-0.0042,151,,1.7324928744782415,1.800952159768954
2024-09-12,100712.17,81619.37,-0.0032,151,,1.7324928744782415,1.800952159768954
2024-09-13,100895.09,81691.3,-0.0014,151,,1.7324928744782415,1.800952159768954
2024-09-16,101032.69,81847.07,-0.0,151,,1.7324928744782415,1.800952159768954
2024-09-17,101099.33,81972.34,0.0006,151,,1.7324928744782415,1.800952159768954
2024-09-18,101107.26,82037.66,0.0001,151,,1.7324928744782415,1.800952159768954
2024-09-19,101343.56,82001.34,0.0023,151,,1.7324928744782415,1.800952159768954
2024-09-20,101271.68,82251.59,-0.0007,151,,1.7324928744782415,1.800952159768954
2024-09-23,101345.32,82166.56,0.0,151,,1.7324928744782415,1.800952159768954
2024-09-24,101364.22,82235.89,0.0002,151,,1.7324928744782415,1.800952159768954
2024-09-25,101245.09,82276.75,-0.0012,151,,1.7324928744782415,1.800952159768954
2024-09-26,101504.94,82108.86,0.0014,151,,1.7324928744782415,1.800952159768954
2024-09-27,101489.84,82373.56,-0.0001,151,,1.7324928744782415,1.800952159768954
2024-09-30,101529.47,82351.27,0.0002,151,,1.7324928744782415,1.800952159768954
2024-10-01,101397.3,82413.44,-0.0013,151,,1.7324928744782415,1.800952159768954
2024-10-02,101392.15,82282.75,-0.0014,151,,1.7324928744782415,1.800952159768954
2024-10-03,101298.1,82295.29,-0.0023,151,,1.7324928744782415,1.800952159768954
2024-10-04,101487.4,82165.03,-0.0004,151,,1.7324928744782415,1.800952159768954
2024-10-07,101289.35,82393.07,-0.0024,151,,1.7324928744782415,1.800952159768954
2024-10-08,101350.42,82184.62,-0.0018,151,,1.7324928744782415,1.800952159768954
2024-10-09,101485.59,82219.45,-0.0004,151,,1.7324928744782415,1.800952159768954
2024-10-10,101429.88,82363.36,-0.001,151,,1.7324928744782415,1.800952159768954
2024-10-11,101629.56,82270.38,0.001,151,,1.7324928744782415,1.800952159768954
