field,n,n_missing,pct_missing,n_nonpositive
roe,1266,91,0.07187993680884676,166
roic,1266,91,0.07187993680884676,154
debt_to_equity,1266,91,0.07187993680884676,93
interest_coverage,1266,91,0.07187993680884676,143
earnings_stability,1266,91,0.07187993680884676,91
ev_ebitda,1266,179,0.14139020537124802,179
pb_ratio,1266,52,0.04107424960505529,55
mktcap_to_assets,1266,50,0.03949447077409163,50
market_cap,1266,51,0.04028436018957346,51
