ticker,sector,is_home_sector,corr,n
SMCI,Communication Services,False,0.2122,4874
SMCI,Consumer Discretionary,False,0.5056,4874
SMCI,Consumer Staples,False,0.3993,4874
SMCI,ETF,False,0.5137,4874
SMCI,Energy,False,0.492,4874
SMCI,Financials,False,0.5197,4874
SMCI,Health Care,False,0.4801,4874
SMCI,Industrials,False,0.4841,4874
SMCI,Information Technology,True,0.5884,4874
SMCI,Materials,False,-0.0117,4874
SMCI,Multi-Sector,False,0.5264,4874
SMCI,Real Estate,False,0.5065,4874
SMCI,Utilities,False,0.4505,4874
SMCI,MARKET_EW,False,0.5283,4874
SMG,Communication Services,False,0.2628,5725
SMG,Consumer Discretionary,False,0.6047,5725
SMG,Consumer Staples,False,0.623,5725
SMG,ETF,False,0.5754,5725
SMG,Energy,False,0.5743,5725
SMG,Financials,False,0.6241,5725
SMG,Health Care,False,0.5713,5725
SMG,Industrials,False,0.5685,5725
SMG,Information Technology,False,0.5779,5725
SMG,Materials,True,0.1275,5725
SMG,Multi-Sector,False,0.6709,5725
SMG,Real Estate,False,0.6082,5725
SMG,Utilities,False,0.5802,5725
SMG,MARKET_EW,False,0.6289,5725
T,Communication Services,True,0.2419,5725
T,Consumer Discretionary,False,0.1614,5725
T,Consumer Staples,False,0.462,5725
T,ETF,False,0.0361,5725
T,Energy,False,0.1181,5725
T,Financials,False,0.1909,5725
T,Health Care,False,0.0757,5725
T,Industrials,False,0.0585,5725
T,Information Technology,False,-0.029,5725
T,Materials,False,0.3209,5725
T,Multi-Sector,False,0.3257,5725
T,Real Estate,False,0.1182,5725
T,Utilities,False,0.1479,5725
T,MARKET_EW,False,0.1381,5725
UAN,Communication Services,False,0.1479,3858
UAN,Consumer Discretionary,False,0.826,3858
UAN,Consumer Staples,False,0.6939,3858
UAN,ETF,False,0.8237,3858
UAN,Energy,False,0.8482,3858
UAN,Financials,False,0.8353,3858
UAN,Health Care,False,0.8283,3858
UAN,Industrials,False,0.8365,3858
UAN,Information Technology,False,0.7796,3858
UAN,Materials,True,-0.1862,3858
UAN,Multi-Sector,False,0.8208,3858
UAN,Real Estate,False,0.8269,3858
UAN,Utilities,False,0.8081,3858
UAN,MARKET_EW,False,0.8508,3858
