ticker,name_vol,beta,max_dd
RF,0.5492779028929858,0.2177898838738091,-0.9356830442835623
AFL,3.025522259961818,1.0228951246364977,-0.8315743247505072
HPQ,3.231784919239253,-1.051559106735945,-0.8569230773372751
HMC,1.9151883634592215,-0.564300389966572,-0.5890736374326748
NUE,5.424176557297087,1.6437468177883852,-0.7658048379956328
XLF,0.18867641192961546,0.08077029877733916,-0.8374539674113483
DVN,1.6174200515519737,-0.3416055921099232,-0.9564972674424238
PFE,2.8039610905307057,-0.6884292975633078,-0.7669941644878605
MU,17.10650007584173,4.577110763597144,-0.9824983812844483
XLE,0.7933031994041264,-0.09916690359079067,-0.7673018118098263
CAG,5.710668651029969,-1.4612235892318433,-0.7193665195389383
XOM,4.099025876271607,1.448565132709582,-0.6986970531663826
DVY,4.5450058149869355,1.4704814507074078,-0.6522832641083207
JPM,8.311455476186353,2.623199806350364,-0.8547284618359354
UAN,2.7659759636862766,1.0252381296626991,-0.9805950848540634
BLK,13.313833873763427,4.142955680615432,-0.9553969834736542
CPB,4.647488165563769,-1.1458756818866236,-0.7039230333612939
MRK,3.3693257875242058,1.1240561612160989,-0.7787615310537516
MO,2.0749169765699054,0.6111078852455031,-0.8383668952725657
BAC,1.6792493616250797,-0.4123269240589887,-0.9428050998609894
SHEL,0.46939410916254615,0.1833779309918163,-0.7541784924454675
DD,5.190650967531686,1.641229767462565,-0.8878057420843469
SCHD,5.737203090720377,-1.7108472003360362,-0.6990747728676046
IPI,1.5001180443594524,-0.3901769697427209,-0.9908507443384537
SMCI,2.1048102691885524,0.3905257318169379,-0.8484096025557227
ICL,12.10668581312039,-3.6948222264318074,-0.9273199381074879
PYPL,1.348916531646343,-0.3352544306530944,-0.8733348394461633
VYM,4.484028978229331,1.4395402896409575,-0.6475596143882801
CB,9.359229176742229,2.973710347687534,-0.8848340118489633
CAT,13.26028450054682,4.131820260978012,-0.9400191100522681
TGT,0.7107244919382997,0.3679196414779392,-0.7905646011902052
TRV,7.752744014297367,2.428056972092447,-0.8190757857884061
LXU,8.587090657059665,-2.606541101455409,-0.978306215504004
HII,7.6020381531655365,2.5423673203748804,-0.8693023351962509
MSFT,1.404393548736484,-0.3824282869689676,-0.7456453369396818
GIS,2.5832490084146382,-0.5460767546494566,-0.644961947332007
VZ,1.0355977220537864,-0.1778234489623484,-0.6236615542153814
ABBV,5.368469723300574,1.7604276320545573,-0.7806957346140613
MOS,1.328598031632379,-0.20223708483797007,-0.9564812506257967
CL,0.5984168045136035,0.044760029783839125,-0.6762589928057552
GOOGL,6.395886408747258,1.8780239894952973,-0.7544390295167396
KHC,2.0780337224682675,-0.6251770557269211,-0.7924469824186071
MKC,2.169776401044382,-0.45824718268959275,-0.6116068703787666
O,2.3675800878697433,0.6797939163255403,-0.5401280579015135
NVDA,0.6602905072326903,0.1133484910899947,-0.8972243204243779
VIG,0.4624688506910835,0.17897682338506596,-0.48202781495134905
XLU,2.9853922832457416,-0.8299436077931837,-0.5567439878566967
DOW,2.303283059095897,-0.46031260466832846,-0.7087858052168667
ASIX,5.401908530551222,-1.5773571595805327,-0.816079530047769
SPLV,0.8470618697759461,0.35737107523902356,-0.36562954621152544
REGN,11.157269410421497,3.656194638785562,-0.9599136051371946
ALL,7.101117176464416,2.236800218672351,-0.7930316792313524
SBUX,1.7889371683519852,0.6625478199664125,-0.8190764601805008
CSCO,4.078433260819062,1.0894131842179628,-0.8925839140487778
