date,mkt_ret,vol21,avg_corr,kf_level,kf_log_vol,kf_vol,kf_level_var,kf_log_vol_var,kf_corr,kf_corr_var,regime,hmm_vol
2025-08-27,0.0032389430481742374,0.08074662004945413,0.10509843761267106,0.0031754374739734774,-2.467099648729807,0.08483054091450937,0.01960786235968836,0.01960786235968836,0.10457561183606838,0.004975126853049408,low_vol,0.0807466200494541
2025-08-28,0.0037334316202979724,0.08137648604537177,0.10042132232747508,0.0034520275742283145,-2.4877049689354114,0.08310046604150718,0.009913727664590564,0.009913727664590564,0.10248297850768284,0.0025186416643048696,low_vol,0.0813764860453717
2025-08-29,0.0025197983332937222,0.07902105975765568,0.09870541976880857,0.003142036828697115,-2.504442984425678,0.08172110523836107,0.006650526113521672,0.006650526113521672,0.1011845747844415,0.0017185751605655784,low_vol,0.0790210597576556
2025-09-01,-0.008309161098270148,0.07903676103516961,0.08838730975259149,0.0002683462349416508,-2.512824555258375,0.08103901648696947,0.005019021786337306,0.005019021786337306,0.09777142940405582,0.0013335448519238243,low_vol,0.0790367610351696
2025-09-02,-0.004733271090779207,0.07251398670480357,0.08270924284011388,-0.0007429938726655312,-2.535299630886239,0.0792379735631939,0.004044052320461853,0.004044052320461853,0.09441522057914985,0.001114117399442044,low_vol,0.0725139867048035
2025-09-03,0.008678514985386486,0.076781643995323,0.08220837034672306,0.0008579053737348924,-2.540650407842538,0.07881512114356319,0.0033983924879128634,0.0033983924879128634,0.09203024000879512,0.0009769025280654158,low_vol,0.076781643995323
2025-09-04,0.00033344133671762597,0.07525892232646109,0.08705647848886279,0.000780776084536792,-2.5474403692134864,0.07828178223989615,0.002941261316476543,0.002941261316476543,0.0911488277547607,0.000886062038260344,low_vol,0.075258922326461
2025-09-05,-0.0005681618304741596,0.07028295995079378,0.08616206408533678,0.0006052734990997283,-2.5614637272317506,0.07719167016178229,0.002602085440465047,0.002602085440465047,0.09032737647063338,0.0008236316563024721,low_vol,0.0702829599507937
2025-09-08,0.005482053444271327,0.07045876609341327,0.0796777759098933,0.001176242433634879,-2.5721488201159857,0.0763712608765011,0.002341581703314112,0.002341581703314112,0.08866685657750148,0.0007796160445929909,low_vol,0.0704587660934132
2025-09-09,0.005227946783767531,0.07160249681660191,0.07546754985118168,0.0016089935505236542,-2.5790353747445294,0.07584713280609913,0.0021361436052194037,0.0021361436052194037,0.0866921830808108,0.0007480216717568683,low_vol,0.0716024968166019
2025-09-10,-0.00011848369654984868,0.07030088111340453,0.07716306972450797,0.001438774092647103,-2.5865177956568597,0.075281730560156,0.0019707287973247433,0.0019707287973247433,0.08531036627294918,0.0007250500420102793,low_vol,0.0703008811134045
2025-09-11,-0.0051566312170411785,0.07270601629450921,0.07822055630252138,0.0008335477369719556,-2.589712437111218,0.07504161616686193,0.0018352969294733222,0.0018352969294733222,0.08430617781589557,0.0007081913769495677,low_vol,0.0727060162945092
2025-09-12,0.012691329351548921,0.08402571173885266,0.07942597099406433,0.0018550298461875126,-2.5799712221877025,0.07577618466428718,0.0017228890570219852,0.0017228890570219852,0.08362711254149927,0.0006957341145446431,low_vol,0.0840257117388526
2025-09-15,0.005893763612878156,0.08563662930427425,0.1031447791160884,0.00218388959835172,-2.5700104021664565,0.07653474929256891,0.0016285289952829754,0.0016285289952829754,0.08630682020626823,0.0006864825911765985,low_vol,0.0856366293042742
2025-09-16,-0.008567344473983845,0.09186764999658956,0.10601991061398572,0.0013514411361236697,-2.555871701206912,0.07762453716399266,0.0015485635539645758,0.0015485635539645758,0.08898616852878823,0.0006795860687249372,low_vol,0.0918676499965895
2025-09-17,0.0055876764234378245,0.08786935734016986,0.10621193655438264,0.001664975474617955,-2.5466965530765404,0.07834003115331037,0.001480249878627829,0.001480249878627829,0.09130968592539021,0.0006744307113475737,low_vol,0.0878693573401698
2025-09-18,0.0032676528147296685,0.08744904817333553,0.10341888318328736,0.001778884826298077,-2.5388785388116952,0.07895489500980346,0.0014214882662804981,0.0014214882662804981,0.09293369610319922,0.0006705688838085006,low_vol,0.0874490481733355
2025-09-19,0.004535765228075393,0.0875518179406202,0.10522912421080335,0.001967819897423295,-2.531795456426392,0.07951612430614557,0.0013706439423590117,0.0013706439423590117,0.09457555750431834,0.0006676715063315692,low_vol,0.0875518179406202
2025-09-22,-0.0032548419089628296,0.08763838896924636,0.10012808020476109,0.0016214464233952719,-2.525345097163533,0.08003068965666667,0.0013264250562978724,0.0013264250562978724,0.09531459291240459,0.0006654951703550068,low_vol,0.0876383889692463
2025-09-23,0.010212211740312687,0.09132493814363737,0.09843746696119361,0.002174604615367888,-2.516844752385836,0.08071387766466329,0.001287797237071082,0.001287797237071082,0.0957292225203291,0.0006638589988688448,low_vol,0.0913249381436373
