ann_ret,ann_vol,sharpe,n,ticker,sector_name,ret_ytd
0.31109294174510294,0.4848620065190627,0.5591135995400884,411,SECT_COMMUNICATION_SERVICES,Communication Services,0.37083402667144094
0.40811575276227496,2.3132031046970805,0.15913680558996166,411,SECT_INFORMATION_TECHNOLOGY,Information Technology,-0.997977903780549
0.28074597729411627,2.363117532013033,0.10187642977242678,411,SECT_ENERGY,Energy,-0.9974911079479344
0.10628339761393663,0.750335445610737,0.0883383532014606,411,SECT_MATERIALS,Materials,-0.25645031871720736
0.1060163976223229,1.0129058989643709,0.06517525239987276,411,SECT_MULTI_SECTOR,Multi-Sector,-0.505141443322862
0.12763799041619353,1.7200976943369115,0.05094942613127419,411,SECT_UTILITIES,Utilities,-0.9246710675725397
0.15291346567023661,2.5194063627057792,0.04481748849319027,411,SECT_FINANCIALS,Financials,-0.9992201253010367
0.1830262523239503,3.6815976964350483,0.03884896290065723,411,SECT_HEALTH_CARE,Health Care,-1.0000000053292846
0.23999670907360657,5.39809506839018,0.03704949737634939,411,SECT_INDUSTRIALS,Industrials,27.7373142561687
0.11488418185796388,2.2281850937350094,0.03360770255061657,411,SECT_REAL_ESTATE,Real Estate,-0.9933792323036896
0.153104076846689,3.941494813760215,0.02869573149045625,411,SECT_ETF,ETF,-0.9999994913975002
-0.00599073201919237,2.8315573765103546,-0.016242203813603064,411,SECT_CONSUMER_DISCRETIONARY,Consumer Discretionary,-0.9999916719829748
-0.045340294771039215,0.7317828742828111,-0.11661969386025543,411,SECT_CONSUMER_STAPLES,Consumer Staples,-0.41001280678664753
