leg,n_fail_leg,n_pass_leg,shadow_dual_n,new_if_dropped,n_new,shadow_port_vol,shadow_max_dd,base_port_vol,vol_delta
roic,104,38,6,AFL,1,0.14888224027638647,-0.07679251173180845,0.15164640455434086,-0.002764164277954395
mca,114,28,6,HPQ,1,0.1472885808578772,-0.0903682325989118,0.15164640455434086,-0.004357823696463675
roe,70,72,5,,0,0.15164640455434086,-0.08275132447237166,0.15164640455434086,0.0
de,48,94,5,,0,0.15164640455434086,-0.08275132447237166,0.15164640455434086,0.0
ev,94,48,5,,0,0.15164640455434086,-0.08275132447237166,0.15164640455434086,0.0
pb,104,38,5,,0,0.15164640455434086,-0.08275132447237166,0.15164640455434086,0.0
