date,mkt_ret,vol21,avg_corr,state_id,regime,p_state_0,p_state_1,p_state_2
1973-01-05,0.0020974397273151022,0.07582815778669698,1.0,1,high_vol_stress,0.0,1.0,0.0
1973-01-08,-0.0021325051370768974,0.07643795433559236,0.6908515400669801,1,high_vol_stress,1.1107631174941939e-09,0.9999999988904165,1.6102171766420202e-18
1973-01-09,-0.0009022607328998636,0.07604450026754465,0.6983032791016839,1,high_vol_stress,8.145176301322568e-10,0.9999999991850927,6.669952148193397e-19
1973-01-10,-0.0023987982867374395,0.07558885569880526,0.5753458808817142,1,high_vol_stress,6.42280697290398e-08,0.9999999357678483,5.060202887947292e-12
1973-01-11,0.008282486430439917,0.08019005857931878,0.29041929858493853,1,high_vol_stress,0.00010792476846046841,0.9998127445136414,7.933071935177773e-05
1973-01-12,-0.006447437299241732,0.08390827659540619,0.41153302205765213,1,high_vol_stress,0.00010837193836952692,0.9998758275699152,1.5800490652285082e-05
1973-01-15,-0.01027160343599713,0.09165108428470625,0.40766595162300034,1,high_vol_stress,0.0011306290397884498,0.9988537783127629,1.5592647422806012e-05
1973-01-16,-0.002775233924329236,0.09143797341494006,0.4131600161451963,1,high_vol_stress,0.008386341503007426,0.9915526102149191,6.104828114534923e-05
1973-01-17,0.0030743328878278238,0.09155991750700262,0.4828363445741743,1,high_vol_stress,0.04644667135715366,0.9535207792296415,3.2549413169159574e-05
1973-01-18,0.0029265076968362186,0.0916447110628073,-0.05994000789974622,0,normal,0.9931418882226727,0.006242346217943167,0.0006157655605742732
1973-01-19,-0.003103408247458986,0.08648809113950207,-0.0640633008742697,0,normal,0.9996624245311381,4.711412169360244e-05,0.00029046134772750434
1973-01-22,-0.00368931833647068,0.08766596596549174,-0.16697762301430275,0,normal,0.9999981480594993,8.474936207247838e-07,1.0044455881998664e-06
1973-01-23,-0.0002243587325323455,0.08752000974683438,-0.1435961157294789,0,normal,0.9999966127855328,7.14018626665067e-07,2.673195964634122e-06
1973-01-24,-0.014407478955789005,0.10014167124901123,-0.20438963918828887,0,normal,0.9999986746924747,1.3245399000787479e-06,7.67175342743667e-10
1973-01-26,-0.006048153541319864,0.10035263841494407,-0.21806624324891882,0,normal,0.9999993368949087,6.619347844702454e-07,1.1709085321399914e-09
1973-01-29,-0.005316268835332924,0.1014401531096665,-0.4373629877654239,0,normal,0.9999984736762424,1.526324688489352e-06,2.6867271540600782e-18
1973-01-30,-0.0023234959924033614,0.1008052165347244,-0.46870395813858395,0,normal,0.9999982498827047,1.7501168556961449e-06,1.176367519644751e-19
1973-01-31,0.0007787201654993536,0.08934844831267419,-0.4561517277342277,0,normal,0.9999991621483659,8.378518720467044e-07,1.6558409164182307e-17
1973-02-01,-0.00996848775746875,0.08900296082521882,-0.3238873870979258,0,normal,0.9999992730047693,7.26990831762683e-07,2.9135929954636014e-12
1973-02-02,-0.003322525428719417,0.08031024077796818,-0.3248386656810402,0,normal,0.9999995282488474,4.717090416447606e-07,4.076973957010052e-11
1973-02-05,-0.0028604863515536098,0.08026227760508327,-0.31730228024169654,0,normal,0.9999995298677472,4.700535101743857e-07,7.757122901600716e-11
1973-02-06,0.003980179145441428,0.08196007442367938,-0.39554736787498124,0,normal,0.9999994320025302,5.679973165292267e-07,4.5351378344920755e-14
1973-02-07,-0.00471626315145825,0.08221447259319155,-0.3482749381941121,0,normal,0.9999995039799026,4.96016914076297e-07,3.396601231100661e-12
