ticker,n_dates,buffett_rate,trifecta_rate,dual_rate,median_composite,composite_std
PTC,5,1.0,0.0,0.0,0.7224,0.01984734239136314
DVN,19,0.2631578947368421,0.0,0.0,0.7219,0.16045671056366664
XLF,1,0.0,0.0,0.0,0.7216,
STZ,7,0.0,0.0,0.0,0.7211,0.05775722177067268
WAB,7,0.0,0.0,0.0,0.7195,0.05391155896907631
CMS,7,0.0,0.0,0.0,0.7187,0.021558436642674043
ALL,21,0.42857142857142855,0.0,0.0,0.7185,0.11142338687572347
EG,6,0.0,0.0,0.0,0.7183,0.0
MU,21,0.5238095238095238,0.0,0.0,0.7167,0.09511982768617498
BEN,13,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.7159,0.24886378005977686
NUE,19,0.3684210526315789,0.0,0.0,0.7143,0.08378941369858853
BR,6,0.0,0.0,0.0,0.7139,0.03245376198018753
LXU,12,0.0,0.0,0.0,0.71275,0.07038282923778466
FCX,6,0.0,0.0,0.0,0.70835,0.04167308083963394
BAC,19,0.0,0.2631578947368421,0.0,0.708,0.6054302097590513
BRO,7,0.0,0.0,0.0,0.7072,0.11627540377831216
SHW,7,0.0,0.0,0.0,0.7054,0.007279750126533341
CINF,5,1.0,0.0,0.0,0.7048,0.006831324908098001
ETR,6,0.0,0.0,0.0,0.70435,0.04751941357662854
SOLV,6,0.0,0.0,0.0,0.7027,0.024530097159747785
PFE,19,0.2631578947368421,0.0,0.0,0.7025,0.13585986739008496
NXPI,7,0.0,0.0,0.0,0.7,0.02063159851157579
SWK,7,0.0,0.14285714285714285,0.0,0.6988,0.019548864295352193
META,6,1.0,0.0,0.0,0.6976,0.020927438129562503
NOW,7,0.0,0.0,0.0,0.6964,0.0
AES,6,0.0,0.0,0.0,0.69625,0.018886264850414464
REG,6,0.0,0.0,0.0,0.6960999999999999,0.015748491991298692
MAR,6,0.0,0.0,0.0,0.6937500000000001,0.023750263156436833
HLT,7,0.0,0.0,0.0,0.6935,0.008838309469899396
DASH,5,0.0,0.0,0.0,0.6926,0.0
DLTR,6,0.0,0.0,0.0,0.68975,0.03242550950512055
