ticker,w_eq,pi,mu_bl,w_bl,w_eq_mv,delta_w,universe
BAYRY,0.17097322432000206,0.055939872829426626,0.060526325834399035,0.16010804911126508,0.1709733174421068,-0.010865175208736977,portfolio
CAG,0.1505873513745547,0.05314096579001238,0.05764971320065958,0.1391531104716017,0.15058724501109824,-0.011434240902953002,portfolio
HMC,0.13640578653509602,0.019987987287279234,0.020420693151856618,0.11857547977633272,0.13640596378629036,-0.017830306758763306,portfolio
KHC,0.15123398619756798,0.055024858023014905,0.062078897172103936,0.17224767234759067,0.1512339197021669,0.021013686150022692,portfolio
PFE,0.10892205714745863,0.019875080304104637,0.049464751189560854,0.2789467776484943,0.10892217352348241,0.17002472050103568,portfolio
SMCI,0.12743424645200008,0.022587848182157203,-0.013312110256974784,2.6852567834222248e-17,0.12743404385610374,-0.12743424645200005,portfolio
T,0.1544433479733206,0.014689274616143062,0.009647006210826026,0.1309689106447156,0.15444333667875154,-0.02347443732860499,portfolio
