date,laspeyres_p,paasche_p,fisher_p,laspeyres_q,paasche_q,fisher_q,nominal_fisher_product,nominal_sqrt_fisher,link_laspeyres_p,link_paasche_p,link_fisher_p,link_laspeyres_q,link_paasche_q,link_fisher_q,n_items,universe,freq,n_tickers
2025-07-28,100.0,100.0,100.0,100.0,100.0,100.0,10000.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,,portfolio,D,7
2025-07-29,99.94010249378915,99.78965267468348,99.86484925201404,76.6228357516629,76.5074877433004,76.5651400255186,7646.166166607762,87.44235910934563,0.9994010249378916,0.9978965267468348,0.9986484925201404,0.7662283575166291,0.7650748774330041,0.765651400255186,7.0,portfolio,D,7
2025-07-30,100.04055964415362,100.16545755765478,100.10298912160668,78.43032153249,78.52823965239533,78.47926532096102,7856.009042695844,88.63413023602051,1.0010051735775505,1.003765970447822,1.0023846215297605,1.0235893877209818,1.0264124724089096,1.024999958137665,7.0,portfolio,D,7
2025-07-31,100.3128444753144,100.60001780723309,100.45632852394532,51.81044561794225,51.95876738445298,51.88455350051221,5212.131751765673,72.19509506722511,1.0027217443817718,1.0043384242449864,1.0035297587558492,0.660592033866387,0.6616571008652186,0.6611243528888434,7.0,portfolio,D,7
2025-08-01,99.41928632608932,100.32854888143672,99.87288284576854,76.9763437096477,77.68034903466243,77.3275452007729,7722.924862587663,87.88017331905795,0.9910922857995024,0.9973015022093084,0.9941920465664073,1.4857301996065122,1.495038334144659,1.4903770001607417,7.0,portfolio,D,7
2025-08-04,98.67672372296698,100.186433981646,99.42871349261316,64.47520211536909,65.4616442102369,64.96655094169157,6459.540580184709,80.37126713064009,0.9925310004671852,0.998583504880962,0.9955526531276632,0.8375976177638093,0.8427053305466828,0.8401475925947565,7.0,portfolio,D,7
2025-08-05,98.13195540329168,98.99741161908554,98.56373360443187,73.84768486194237,74.49897054786494,74.17261286726966,7310.729655394223,85.502804956295,0.9944792621894832,0.9881319025410338,0.9913005020602468,1.1453656978042903,1.138055290951809,1.1417046432685134,7.0,portfolio,D,7
2025-08-06,97.9892918090164,99.1174290497169,98.55174619717396,56.46458968364461,57.11465873942618,56.78869403889375,5596.624961790022,74.81059391416447,0.9985462065472048,1.001212328975763,0.999878379127702,0.7646087997098985,0.7666503083117171,0.7656288735643697,7.0,portfolio,D,7
2025-08-07,97.65828632007856,98.78776092962237,98.22140012127971,109.58586956588974,110.8532935798006,110.21775978119548,10825.742683939894,104.04682928345242,0.9966220238678428,0.99667396417305,0.9966479936820878,1.9407892659783568,1.9408904128368485,1.9408398387486945,7.0,portfolio,D,7
2025-08-08,98.31622364158326,99.40506315957876,98.85914434539102,92.50377660391776,93.5282440193604,93.01459988046835,9195.343755812011,95.89235504362176,1.006737137689968,1.0062487723595253,1.0064929254044823,0.8441213905621183,0.843711909669438,0.8439166252800014,7.0,portfolio,D,7
2025-08-11,98.14662657608368,99.06225046164468,98.60337572236315,70.89997770056694,71.56141371047457,71.22992795373088,7023.511348698585,83.80639205155288,0.9982749839322772,0.9965513557656136,0.9974127975239776,0.7664549524734121,0.7651315863009391,0.765792983523741,7.0,portfolio,D,7
